date,time,boundaryLayerHeight
2016-01-01,00:00:00,221.29006393592505
2016-01-01,01:00:00,215.84960905271413
2016-01-01,02:00:00,213.8533665962059
2016-01-01,03:00:00,213.24241545104672
2016-01-01,04:00:00,214.78009150328091
2016-01-01,05:00:00,216.2702999035478
2016-01-01,06:00:00,223.16585619448676
2016-01-01,07:00:00,231.69068472734446
2016-01-01,08:00:00,231.35175886956918
2016-01-01,09:00:00,230.7925472872817
2016-01-01,10:00:00,229.81178564378848
2016-01-01,11:00:00,233.49921726412563
2016-01-01,12:00:00,235.60557873104477
2016-01-01,13:00:00,240.4085664987226
2016-01-01,14:00:00,238.38350149729402
2016-01-01,15:00:00,231.9158001663366
2016-01-01,16:00:00,224.31914899702286
2016-01-01,17:00:00,220.3866112727402
2016-01-01,18:00:00,217.8050657457648
2016-01-01,19:00:00,213.6826273384153
2016-01-01,20:00:00,209.14391263138032
2016-01-01,21:00:00,206.53055547536118
2016-01-01,22:00:00,202.6562870582137
2016-01-01,23:00:00,203.9609636292839
2016-01-02,00:00:00,205.80712348940884
2016-01-02,01:00:00,207.49469023364023
2016-01-02,02:00:00,209.36470178968585
2016-01-02,03:00:00,212.3055699619282
2016-01-02,04:00:00,210.60542697092086
2016-01-02,05:00:00,210.84278569936527
2016-01-02,06:00:00,212.34737816082213
2016-01-02,07:00:00,215.33177184993986
2016-01-02,08:00:00,222.10683486033378
2016-01-02,09:00:00,230.95207927817347
2016-01-02,10:00:00,243.790492063925
2016-01-02,11:00:00,240.40899323996499
2016-01-02,12:00:00,236.50526050895456
2016-01-02,13:00:00,246.45828370367633
2016-01-02,14:00:00,268.07542153776274
2016-01-02,15:00:00,305.92907582265104
2016-01-02,16:00:00,361.85464060275615
2016-01-02,17:00:00,398.9690827139681
2016-01-02,18:00:00,399.55620154680116
2016-01-02,19:00:00,404.28608392662613
2016-01-02,20:00:00,403.43932402580054
2016-01-02,21:00:00,371.8753287631681
2016-01-02,22:00:00,276.9799774661935
2016-01-02,23:00:00,256.8812967533777
2016-01-03,00:00:00,248.72216744244093
2016-01-03,01:00:00,248.55439128523219
2016-01-03,02:00:00,253.67377888106876
2016-01-03,03:00:00,255.84200319295047
2016-01-03,04:00:00,255.78068468726605
2016-01-03,05:00:00,255.10305863610574
2016-01-03,06:00:00,249.3965331990011
2016-01-03,07:00:00,241.7205101080326
2016-01-03,08:00:00,237.48421110325418
2016-01-03,09:00:00,237.33131662008324
2016-01-03,10:00:00,214.67891890102194
2016-01-03,11:00:00,222.5750873999744
2016-01-03,12:00:00,226.89948502500454
2016-01-03,13:00:00,228.99995769219836
2016-01-03,14:00:00,235.6099034527322
2016-01-03,15:00:00,244.39080225245203
2016-01-03,16:00:00,251.94009036010533
2016-01-03,17:00:00,262.9973435971858
2016-01-03,18:00:00,266.4573866273596
2016-01-03,19:00:00,263.6413879434812
2016-01-03,20:00:00,258.03973504446327
2016-01-03,21:00:00,269.1505032378301
2016-01-03,22:00:00,213.4303104153799
2016-01-03,23:00:00,213.36944598623214
2016-01-04,00:00:00,212.2966602055266
2016-01-04,01:00:00,201.02086967370374
2016-01-04,02:00:00,180.0460592989632
2016-01-04,03:00:00,182.10144258033722
2016-01-04,04:00:00,184.65649418781675
2016-01-04,05:00:00,177.67235186898094
2016-01-04,06:00:00,194.9624137060484
2016-01-04,07:00:00,227.2561216832933
2016-01-04,08:00:00,237.17056657069955
2016-01-04,09:00:00,261.1657098227956
2016-01-04,10:00:00,291.7639378959635
2016-01-04,11:00:00,360.53417384601266
2016-01-04,12:00:00,434.3204190787749
2016-01-04,13:00:00,485.4632157555112
2016-01-04,14:00:00,585.5216315865538
2016-01-04,15:00:00,588.1055184523126
2016-01-04,16:00:00,588.2867931808303
2016-01-04,17:00:00,580.8548890264992
2016-01-04,18:00:00,503.409325457187
2016-01-04,19:00:00,420.494283412763
2016-01-04,20:00:00,333.4454357756697
2016-01-04,21:00:00,261.835835489932
2016-01-04,22:00:00,161.37982393450105
2016-01-04,23:00:00,139.64266049345264
2016-01-05,00:00:00,109.82561397599756
2016-01-05,01:00:00,108.46334145704915
2016-01-05,02:00:00,112.07741812812691
2016-01-05,03:00:00,113.43485623725087
2016-01-05,04:00:00,113.97245544846459
2016-01-05,05:00:00,121.50732835282102
2016-01-05,06:00:00,122.25275089487637
2016-01-05,07:00:00,107.4425982581227
2016-01-05,08:00:00,94.30401338122576
2016-01-05,09:00:00,88.01982473377245
2016-01-05,10:00:00,89.14693298467398
2016-01-05,11:00:00,101.91482931106775
2016-01-05,12:00:00,103.04048871757944
2016-01-05,13:00:00,109.4712455328982
2016-01-05,14:00:00,142.8989061551811
2016-01-05,15:00:00,169.87886858381904
2016-01-05,16:00:00,178.1882838689231
2016-01-05,17:00:00,156.8927135932627
2016-01-05,18:00:00,124.4573827150396
2016-01-05,19:00:00,95.74874095142104
2016-01-05,20:00:00,70.14872388771394
2016-01-05,21:00:00,53.809841474370806
2016-01-05,22:00:00,55.59500620093043
2016-01-05,23:00:00,47.89143902272258
2016-01-06,00:00:00,40.7477465078449
2016-01-06,01:00:00,45.47822453998122
2016-01-06,02:00:00,43.45069312540838
2016-01-06,03:00:00,43.01160308635388
2016-01-06,04:00:00,41.488727903244126
2016-01-06,05:00:00,38.79241204943732
2016-01-06,06:00:00,38.87352231681024
2016-01-06,07:00:00,39.6804794747805
2016-01-06,08:00:00,45.373901617390054
2016-01-06,09:00:00,50.67624293743169
2016-01-06,10:00:00,49.86363293127597
2016-01-06,11:00:00,47.96719734437974
2016-01-06,12:00:00,41.958152219409826
2016-01-06,13:00:00,40.66795345804534
2016-01-06,14:00:00,42.857399366679246
2016-01-06,15:00:00,47.143987918165266
2016-01-06,16:00:00,50.741172371355916
2016-01-06,17:00:00,51.81738952046294
2016-01-06,18:00:00,50.839446778562156
2016-01-06,19:00:00,50.253176408443856
2016-01-06,20:00:00,51.38193789227998
2016-01-06,21:00:00,50.23057277275677
2016-01-06,22:00:00,49.61550221159851
2016-01-06,23:00:00,52.14534966792493
2016-01-07,00:00:00,57.85899723797649
2016-01-07,01:00:00,60.72995810918851
2016-01-07,02:00:00,57.13112227414871
2016-01-07,03:00:00,50.8218570727446
2016-01-07,04:00:00,45.880922071931174
2016-01-07,05:00:00,44.60423338548022
2016-01-07,06:00:00,46.48438192156735
2016-01-07,07:00:00,48.729514538939426
2016-01-07,08:00:00,50.075630395139704
2016-01-07,09:00:00,48.32999959766529
2016-01-07,10:00:00,49.60794099877053
2016-01-07,11:00:00,54.7989657765896
2016-01-07,12:00:00,64.1741663200953
2016-01-07,13:00:00,70.04535860231259
2016-01-07,14:00:00,74.35301044448323
2016-01-07,15:00:00,80.01211124389911
2016-01-07,16:00:00,91.7095776609597
2016-01-07,17:00:00,105.33298476900143
2016-01-07,18:00:00,124.35421473285713
2016-01-07,19:00:00,188.53566041506045
2016-01-07,20:00:00,205.72090566356445
2016-01-07,21:00:00,232.23542882763846
2016-01-07,22:00:00,173.82398527937764
2016-01-07,23:00:00,183.6449476192276
2016-01-08,00:00:00,252.328737791206
2016-01-08,01:00:00,317.18606714648814
2016-01-08,02:00:00,307.876181053851
2016-01-08,03:00:00,516.0116794180962
2016-01-08,04:00:00,926.2318100703019
2016-01-08,05:00:00,1099.722844369209
2016-01-08,06:00:00,1053.6542179074522
2016-01-08,07:00:00,925.5604565004849
2016-01-08,08:00:00,879.7266222015678
2016-01-08,09:00:00,886.1112038069537
2016-01-08,10:00:00,968.18665761588
2016-01-08,11:00:00,1201.1232493418183
2016-01-08,12:00:00,1154.9990248913086
2016-01-08,13:00:00,1363.6736239027691
2016-01-08,14:00:00,1410.416909723915
2016-01-08,15:00:00,1363.8028418154151
2016-01-08,16:00:00,1333.1087987686478
2016-01-08,17:00:00,1319.0434373858711
2016-01-08,18:00:00,1298.2345397238378
2016-01-08,19:00:00,966.791781289543
2016-01-08,20:00:00,810.3482351066367
2016-01-08,21:00:00,705.7261740480888
2016-01-08,22:00:00,527.5992929447152
2016-01-08,23:00:00,386.92449684962486
2016-01-09,00:00:00,287.32169846218534
2016-01-09,01:00:00,198.0442457995054
2016-01-09,02:00:00,128.1188760417225
2016-01-09,03:00:00,88.83244282062324
2016-01-09,04:00:00,73.99363621491767
2016-01-09,05:00:00,68.25705470846668
2016-01-09,06:00:00,66.95120254763579
2016-01-09,07:00:00,79.47893910645968
2016-01-09,08:00:00,107.51326297308799
2016-01-09,09:00:00,135.19902023769683
2016-01-09,10:00:00,143.62086174116757
2016-01-09,11:00:00,131.31055604206782
2016-01-09,12:00:00,109.9063378124513
2016-01-09,13:00:00,88.47030674869828
2016-01-09,14:00:00,76.1532650307083
2016-01-09,15:00:00,75.96714968841204
2016-01-09,16:00:00,78.52598282807836
2016-01-09,17:00:00,81.41813803393703
2016-01-09,18:00:00,84.95472951946805
2016-01-09,19:00:00,80.45027868780635
2016-01-09,20:00:00,69.95675778745789
2016-01-09,21:00:00,61.42252696081024
2016-01-09,22:00:00,76.4430425664467
2016-01-09,23:00:00,66.29350676739222
2016-01-10,00:00:00,56.86141775714335
2016-01-10,01:00:00,55.24343013662262
2016-01-10,02:00:00,57.22178534647794
2016-01-10,03:00:00,54.77138083468713
2016-01-10,04:00:00,41.46233400867489
2016-01-10,05:00:00,35.8764768235222
2016-01-10,06:00:00,49.921436384036774
2016-01-10,07:00:00,64.29406029804947
2016-01-10,08:00:00,72.98619372900927
2016-01-10,09:00:00,70.24557745019564
2016-01-10,10:00:00,74.07886365696079
2016-01-10,11:00:00,100.37453402361382
2016-01-10,12:00:00,229.7956902688352
2016-01-10,13:00:00,368.45912912299707
2016-01-10,14:00:00,404.4396010660977
2016-01-10,15:00:00,422.86333420334785
2016-01-10,16:00:00,367.19959144217734
2016-01-10,17:00:00,187.84116276978548
2016-01-10,18:00:00,123.18945252661536
2016-01-10,19:00:00,129.9304899595887
2016-01-10,20:00:00,123.87812126606975
2016-01-10,21:00:00,81.45857458762175
2016-01-10,22:00:00,102.28270539391818
2016-01-10,23:00:00,51.782093635005104
2016-01-11,00:00:00,26.170610893357974
2016-01-11,01:00:00,24.414400534428637
2016-01-11,02:00:00,17.809373156470706
2016-01-11,03:00:00,82.79802145393472
2016-01-11,04:00:00,106.23952171756028
2016-01-11,05:00:00,78.30379242143238
2016-01-11,06:00:00,48.27016432141402
2016-01-11,07:00:00,20.244247534893447
2016-01-11,08:00:00,0.0
2016-01-11,09:00:00,31.58952416837925
2016-01-11,10:00:00,0.0
2016-01-11,11:00:00,0.0
2016-01-11,12:00:00,0.0
2016-01-11,13:00:00,0.0
2016-01-11,14:00:00,0.0
2016-01-11,15:00:00,0.0
2016-01-11,16:00:00,0.0
2016-01-11,17:00:00,0.0
2016-01-11,18:00:00,56.368140409251694
2016-01-11,19:00:00,65.49163742484086
2016-01-11,20:00:00,70.53032240805153
2016-01-11,21:00:00,48.30419152827206
2016-01-11,22:00:00,19.28831411764574
2016-01-11,23:00:00,0.0
2016-01-12,00:00:00,0.0
2016-01-12,01:00:00,0.0
2016-01-12,02:00:00,0.0
2016-01-12,03:00:00,0.0
2016-01-12,04:00:00,0.0
2016-01-12,05:00:00,0.0
2016-01-12,06:00:00,0.0
2016-01-12,07:00:00,25.086736217382523
2016-01-12,08:00:00,49.55438983091899
2016-01-12,09:00:00,88.7390112848035
2016-01-12,10:00:00,123.11214471584319
2016-01-12,11:00:00,188.15148639641325
2016-01-12,12:00:00,311.6648390315683
2016-01-12,13:00:00,425.2206129715119
2016-01-12,14:00:00,589.6034082385942
2016-01-12,15:00:00,617.2471749406454
2016-01-12,16:00:00,636.0635725467451
2016-01-12,17:00:00,621.5337021709352
2016-01-12,18:00:00,509.94506759767313
2016-01-12,19:00:00,462.15029375103205
2016-01-12,20:00:00,452.27214564055316
2016-01-12,21:00:00,422.995788951815
2016-01-12,22:00:00,614.1083426610758
2016-01-12,23:00:00,427.31624708442814
2016-01-13,00:00:00,375.646766978751
2016-01-13,01:00:00,344.030816946943
2016-01-13,02:00:00,318.7282699470727
2016-01-13,03:00:00,367.4467862020966
2016-01-13,04:00:00,460.3328099409866
2016-01-13,05:00:00,464.36809251202993
2016-01-13,06:00:00,448.31874736351654
2016-01-13,07:00:00,418.48727440078636
2016-01-13,08:00:00,358.6256440988247
2016-01-13,09:00:00,324.5082884350632
2016-01-13,10:00:00,383.82664918915964
2016-01-13,11:00:00,565.888392051486
2016-01-13,12:00:00,643.8015754538891
2016-01-13,13:00:00,615.0827229765176
2016-01-13,14:00:00,697.5086032582432
2016-01-13,15:00:00,697.6109208880604
2016-01-13,16:00:00,685.6980439988588
2016-01-13,17:00:00,499.9823865920518
2016-01-13,18:00:00,379.3168880589682
2016-01-13,19:00:00,319.4525829305722
2016-01-13,20:00:00,249.36806306528334
2016-01-13,21:00:00,235.97857402345437
2016-01-13,22:00:00,390.0586315939997
2016-01-13,23:00:00,386.1537779446822
2016-01-14,00:00:00,380.0655276095929
2016-01-14,01:00:00,355.40810132524456
2016-01-14,02:00:00,313.23376010730385
2016-01-14,03:00:00,272.63887004715053
2016-01-14,04:00:00,271.29672275954954
2016-01-14,05:00:00,322.1479846368692
2016-01-14,06:00:00,413.0682507374329
2016-01-14,07:00:00,510.8572073585359
2016-01-14,08:00:00,411.9997701904303
2016-01-14,09:00:00,311.91604123936816
2016-01-14,10:00:00,293.26575076672134
2016-01-14,11:00:00,280.9920013076262
2016-01-14,12:00:00,296.288035827272
2016-01-14,13:00:00,245.26470671527653
2016-01-14,14:00:00,198.7153336834776
2016-01-14,15:00:00,194.8163458416043
2016-01-14,16:00:00,190.78565719611305
2016-01-14,17:00:00,190.3433870574449
2016-01-14,18:00:00,200.29137932260193
2016-01-14,19:00:00,194.08721782048997
2016-01-14,20:00:00,188.76366411431894
2016-01-14,21:00:00,169.8696896424422
2016-01-14,22:00:00,153.09810338570736
2016-01-14,23:00:00,130.4667308606808
2016-01-15,00:00:00,141.02235103460734
2016-01-15,01:00:00,132.72118580857222
2016-01-15,02:00:00,104.04057039432162
2016-01-15,03:00:00,65.45216008342516
2016-01-15,04:00:00,40.21855708268963
2016-01-15,05:00:00,36.99810474413949
2016-01-15,06:00:00,38.580908573980416
2016-01-15,07:00:00,44.608427554654455
2016-01-15,08:00:00,57.76006197041502
2016-01-15,09:00:00,67.38463348843223
2016-01-15,10:00:00,79.60388599807237
2016-01-15,11:00:00,99.72455184885209
2016-01-15,12:00:00,99.47698937115663
2016-01-15,13:00:00,104.6946496255097
