date,time,boundaryLayerHeight
2017-01-01,00:00:00,231.7312801141118
2017-01-01,01:00:00,226.32345544044176
2017-01-01,02:00:00,224.46029964509574
2017-01-01,03:00:00,220.8232689349309
2017-01-01,04:00:00,215.72217947840088
2017-01-01,05:00:00,211.62722841727071
2017-01-01,06:00:00,209.64281193599294
2017-01-01,07:00:00,210.75218085842604
2017-01-01,08:00:00,208.9338005340102
2017-01-01,09:00:00,209.72085923774694
2017-01-01,10:00:00,206.2099122406569
2017-01-01,11:00:00,201.62617310836544
2017-01-01,12:00:00,195.66047229495828
2017-01-01,13:00:00,193.00959923563664
2017-01-01,14:00:00,193.41100167102724
2017-01-01,15:00:00,193.57810801368748
2017-01-01,16:00:00,200.03091461790595
2017-01-01,17:00:00,207.17139293189385
2017-01-01,18:00:00,212.57997842644068
2017-01-01,19:00:00,216.58661494632227
2017-01-01,20:00:00,220.11600236662048
2017-01-01,21:00:00,220.247797735491
2017-01-01,22:00:00,209.883093721576
2017-01-01,23:00:00,220.97854362826925
2017-01-02,00:00:00,216.925754154324
2017-01-02,01:00:00,205.9263133891452
2017-01-02,02:00:00,197.79551198003233
2017-01-02,03:00:00,193.70243826124377
2017-01-02,04:00:00,188.0675496155569
2017-01-02,05:00:00,186.1438429535331
2017-01-02,06:00:00,185.66078645257014
2017-01-02,07:00:00,189.7402989208618
2017-01-02,08:00:00,192.54745328836765
2017-01-02,09:00:00,191.38741570352255
2017-01-02,10:00:00,174.17996974244952
2017-01-02,11:00:00,174.27675364901114
2017-01-02,12:00:00,168.5513565123843
2017-01-02,13:00:00,165.23531704152805
2017-01-02,14:00:00,165.26700244038463
2017-01-02,15:00:00,167.22156976651874
2017-01-02,16:00:00,158.12370827499603
2017-01-02,17:00:00,157.01540416898166
2017-01-02,18:00:00,155.15780822590796
2017-01-02,19:00:00,151.30319255213402
2017-01-02,20:00:00,144.76814202466892
2017-01-02,21:00:00,143.51688789251284
2017-01-02,22:00:00,143.10177228055684
2017-01-02,23:00:00,146.8263358412617
2017-01-03,00:00:00,141.8788463827488
2017-01-03,01:00:00,138.81453408122422
2017-01-03,02:00:00,141.74922599233182
2017-01-03,03:00:00,153.13713806015676
2017-01-03,04:00:00,165.00931814461876
2017-01-03,05:00:00,169.40952830129615
2017-01-03,06:00:00,176.6283948172765
2017-01-03,07:00:00,189.6081499032149
2017-01-03,08:00:00,217.62393129947145
2017-01-03,09:00:00,276.6649224721741
2017-01-03,10:00:00,326.4248392726423
2017-01-03,11:00:00,378.8710608632183
2017-01-03,12:00:00,414.0888791432357
2017-01-03,13:00:00,383.09687828338843
2017-01-03,14:00:00,338.35619524585934
2017-01-03,15:00:00,269.0545326651891
2017-01-03,16:00:00,230.93905816212228
2017-01-03,17:00:00,210.52717310047328
2017-01-03,18:00:00,198.9331570955033
2017-01-03,19:00:00,191.22397407799434
2017-01-03,20:00:00,191.17878354690424
2017-01-03,21:00:00,192.01203541905048
2017-01-03,22:00:00,197.51243542073902
2017-01-03,23:00:00,199.72719371215683
2017-01-04,00:00:00,198.31041891047508
2017-01-04,01:00:00,194.75679546295459
2017-01-04,02:00:00,190.18028785396612
2017-01-04,03:00:00,184.86967740260323
2017-01-04,04:00:00,182.87811219073512
2017-01-04,05:00:00,183.96517654761251
2017-01-04,06:00:00,184.244674668818
2017-01-04,07:00:00,187.96743074626585
2017-01-04,08:00:00,189.91045255866604
2017-01-04,09:00:00,197.79815179696044
2017-01-04,10:00:00,163.6553135992744
2017-01-04,11:00:00,212.9574187080124
2017-01-04,12:00:00,249.35426106988325
2017-01-04,13:00:00,297.0911341950867
2017-01-04,14:00:00,253.8531465739958
2017-01-04,15:00:00,210.05207460086189
2017-01-04,16:00:00,180.98714001163162
2017-01-04,17:00:00,167.06333038315938
2017-01-04,18:00:00,170.4403502282736
2017-01-04,19:00:00,213.92164203311822
2017-01-04,20:00:00,332.60740698597846
2017-01-04,21:00:00,506.6288023047505
2017-01-04,22:00:00,797.4709151979358
2017-01-04,23:00:00,1064.1912821966123
2017-01-05,00:00:00,1321.788364712317
2017-01-05,01:00:00,1211.1734778172743
2017-01-05,02:00:00,1135.8406931608145
2017-01-05,03:00:00,1092.3681051131782
2017-01-05,04:00:00,945.5449211179575
2017-01-05,05:00:00,872.8735395345249
2017-01-05,06:00:00,867.335466186242
2017-01-05,07:00:00,936.956911661046
2017-01-05,08:00:00,1510.5988269894813
2017-01-05,09:00:00,2002.2875576490135
2017-01-05,10:00:00,1225.6986249102024
2017-01-05,11:00:00,2946.252103237848
2017-01-05,12:00:00,2795.7477854682083
2017-01-05,13:00:00,2140.6213248816725
2017-01-05,14:00:00,2143.7465752706744
2017-01-05,15:00:00,1909.346847436043
2017-01-05,16:00:00,2071.9100523181905
2017-01-05,17:00:00,1977.6309756294136
2017-01-05,18:00:00,1763.4640090482048
2017-01-05,19:00:00,1642.077116021888
2017-01-05,20:00:00,1576.0344334668437
2017-01-05,21:00:00,1527.5887936624783
2017-01-05,22:00:00,1524.9451758236453
2017-01-05,23:00:00,837.6737346820186
2017-01-06,00:00:00,653.2562121864636
2017-01-06,01:00:00,530.2313329213982
2017-01-06,02:00:00,466.89654810064064
2017-01-06,03:00:00,432.2590152228173
2017-01-06,04:00:00,400.0529778910213
2017-01-06,05:00:00,355.9745001641065
2017-01-06,06:00:00,291.84573981958766
2017-01-06,07:00:00,249.2759759692069
2017-01-06,08:00:00,256.2734335260468
2017-01-06,09:00:00,290.27016521405324
2017-01-06,10:00:00,280.3225391695264
2017-01-06,11:00:00,397.992032060068
2017-01-06,12:00:00,437.7980445641872
2017-01-06,13:00:00,383.1546266707365
2017-01-06,14:00:00,322.9912466442309
2017-01-06,15:00:00,275.38511629410186
2017-01-06,16:00:00,259.88870953817224
2017-01-06,17:00:00,241.93318297256127
2017-01-06,18:00:00,232.9256423891245
2017-01-06,19:00:00,243.59996642434433
2017-01-06,20:00:00,263.83588592613
2017-01-06,21:00:00,293.35820926860333
2017-01-06,22:00:00,254.83663966063938
2017-01-06,23:00:00,268.1142975377412
2017-01-07,00:00:00,269.6579711464323
2017-01-07,01:00:00,280.27332485440417
2017-01-07,02:00:00,283.39856963253027
2017-01-07,03:00:00,266.98052416915635
2017-01-07,04:00:00,256.82424032574414
2017-01-07,05:00:00,247.9657041784662
2017-01-07,06:00:00,240.4918224515642
2017-01-07,07:00:00,239.084147336827
2017-01-07,08:00:00,241.42251186067568
2017-01-07,09:00:00,246.73843972588992
2017-01-07,10:00:00,250.7294995901471
2017-01-07,11:00:00,245.12914779811237
2017-01-07,12:00:00,240.72163573271942
2017-01-07,13:00:00,235.60155647680625
2017-01-07,14:00:00,229.60211246119033
2017-01-07,15:00:00,228.84104246715688
2017-01-07,16:00:00,228.93338488721105
2017-01-07,17:00:00,227.50051097338704
2017-01-07,18:00:00,226.88714803948366
2017-01-07,19:00:00,226.50098503305756
2017-01-07,20:00:00,226.93379270883
2017-01-07,21:00:00,226.38630989043725
2017-01-07,22:00:00,222.15540768003854
2017-01-07,23:00:00,224.39668517626862
2017-01-08,00:00:00,216.78920244248616
2017-01-08,01:00:00,215.00046005643225
