date,time,boundaryLayerHeight
2010-01-01,00:00:00,0.0
2010-01-01,01:00:00,0.0
2010-01-01,02:00:00,1.6531995692849648
2010-01-01,03:00:00,3.519848505825564
2010-01-01,04:00:00,6.284107859353568
2010-01-01,05:00:00,32.9246540485506
2010-01-01,06:00:00,65.33246146776602
2010-01-01,07:00:00,90.65220191503755
2010-01-01,08:00:00,108.58740367782303
2010-01-01,09:00:00,126.65473274121365
2010-01-01,10:00:00,55.71640964042699
2010-01-01,11:00:00,50.00900069607422
2010-01-01,12:00:00,75.68048126993472
2010-01-01,13:00:00,68.78316039325362
2010-01-01,14:00:00,80.66114271492904
2010-01-01,15:00:00,132.22829641076396
2010-01-01,16:00:00,153.2953452406108
2010-01-01,17:00:00,148.96702957435622
2010-01-01,18:00:00,137.33731946755873
2010-01-01,19:00:00,114.63429045681725
2010-01-01,20:00:00,95.48620859624143
2010-01-01,21:00:00,93.48794673633398
2010-01-01,22:00:00,68.99032193016293
2010-01-01,23:00:00,84.19031227881679
2010-01-02,00:00:00,93.86853767318115
2010-01-02,01:00:00,104.6943001775623
2010-01-02,02:00:00,122.60256031414474
2010-01-02,03:00:00,126.15006231337357
2010-01-02,04:00:00,137.95772138287745
2010-01-02,05:00:00,162.86608966734298
2010-01-02,06:00:00,205.9292811502816
2010-01-02,07:00:00,252.1232077106038
2010-01-02,08:00:00,305.36217978659073
2010-01-02,09:00:00,372.4622357443003
2010-01-02,10:00:00,368.5038590660758
2010-01-02,11:00:00,331.75524564944254
2010-01-02,12:00:00,372.888466169548
2010-01-02,13:00:00,340.82160967075396
2010-01-02,14:00:00,369.84178136035615
2010-01-02,15:00:00,468.7279794704532
2010-01-02,16:00:00,547.2552610342336
2010-01-02,17:00:00,430.7553747988686
2010-01-02,18:00:00,317.5788626440768
2010-01-02,19:00:00,294.1873566560993
2010-01-02,20:00:00,270.5424452633977
2010-01-02,21:00:00,262.3250844779367
2010-01-02,22:00:00,271.4776981813566
2010-01-02,23:00:00,243.25879933703897
2010-01-03,00:00:00,240.26104083861838
2010-01-03,01:00:00,219.76585799167728
2010-01-03,02:00:00,202.02402308822454
2010-01-03,03:00:00,205.00594878739483
2010-01-03,04:00:00,213.42717087316564
2010-01-03,05:00:00,228.50379100732673
2010-01-03,06:00:00,249.72474997809354
2010-01-03,07:00:00,260.13578357404344
2010-01-03,08:00:00,259.7629316232874
2010-01-03,09:00:00,242.28479125253455
2010-01-03,10:00:00,242.32776706586066
2010-01-03,11:00:00,218.39784650562711
2010-01-03,12:00:00,186.02972478453438
2010-01-03,13:00:00,162.2964873392513
2010-01-03,14:00:00,152.19082592220695
2010-01-03,15:00:00,149.25871208951034
2010-01-03,16:00:00,148.6151835764493
2010-01-03,17:00:00,152.1493277330158
2010-01-03,18:00:00,160.41746692562845
2010-01-03,19:00:00,164.57741111944267
2010-01-03,20:00:00,164.49494179251965
2010-01-03,21:00:00,164.11843995231004
2010-01-03,22:00:00,169.80116278599388
2010-01-03,23:00:00,166.87386958929812
2010-01-04,00:00:00,164.47102983971374
2010-01-04,01:00:00,161.07847676583057
2010-01-04,02:00:00,162.47500280024428
2010-01-04,03:00:00,160.66935158152734
2010-01-04,04:00:00,159.33364850267992
2010-01-04,05:00:00,159.37180438927115
2010-01-04,06:00:00,159.99351914642565
2010-01-04,07:00:00,161.14072104551536
2010-01-04,08:00:00,159.9048299154089
2010-01-04,09:00:00,158.54533141166183
2010-01-04,10:00:00,159.0934193730577
2010-01-04,11:00:00,168.09748516900456
2010-01-04,12:00:00,179.25043936872822
2010-01-04,13:00:00,180.51216111314164
2010-01-04,14:00:00,181.11216725684892
2010-01-04,15:00:00,178.0598902250992
2010-01-04,16:00:00,181.59225442343288
2010-01-04,17:00:00,193.16986202428177
2010-01-04,18:00:00,216.15064498790827
2010-01-04,19:00:00,257.60151317642004
2010-01-04,20:00:00,294.8539676412918
2010-01-04,21:00:00,301.1669529303719
2010-01-04,22:00:00,367.44093162829745
2010-01-04,23:00:00,329.95203134023114
2010-01-05,00:00:00,399.29750914665414
2010-01-05,01:00:00,436.8599858792904
2010-01-05,02:00:00,397.5130830072215
2010-01-05,03:00:00,331.3393274108639
2010-01-05,04:00:00,243.4705124983426
2010-01-05,05:00:00,180.14200705136273
2010-01-05,06:00:00,152.93721887167527
2010-01-05,07:00:00,133.54535362562513
2010-01-05,08:00:00,126.67162455285356
2010-01-05,09:00:00,125.81099596642838
2010-01-05,10:00:00,118.52646161997964
2010-01-05,11:00:00,119.18503878113572
2010-01-05,12:00:00,126.32057333682175
2010-01-05,13:00:00,121.02664134287019
2010-01-05,14:00:00,106.30607662487394
2010-01-05,15:00:00,118.81781017629886
2010-01-05,16:00:00,147.78736628817114
2010-01-05,17:00:00,181.0713327604106
2010-01-05,18:00:00,198.38245365069136
2010-01-05,19:00:00,212.11489067162347
2010-01-05,20:00:00,193.33558076292928
2010-01-05,21:00:00,157.33541671019947
2010-01-05,22:00:00,117.7363376702803
2010-01-05,23:00:00,88.31516857563051
2010-01-06,00:00:00,64.68429935360957
2010-01-06,01:00:00,46.10228261243079
2010-01-06,02:00:00,41.212304365467695
2010-01-06,03:00:00,41.28385252626219
2010-01-06,04:00:00,39.980197980182986
2010-01-06,05:00:00,37.84679872043647
2010-01-06,06:00:00,37.817815645041975
2010-01-06,07:00:00,40.02192739925769
2010-01-06,08:00:00,40.16357700992797
2010-01-06,09:00:00,44.87027835520783
2010-01-06,10:00:00,43.43899290587575
2010-01-06,11:00:00,41.719731001359506
2010-01-06,12:00:00,38.557429414673216
2010-01-06,13:00:00,40.47959572610184
2010-01-06,14:00:00,44.937264332185066
2010-01-06,15:00:00,46.90044498278426
2010-01-06,16:00:00,48.046266944797395
2010-01-06,17:00:00,50.124932921755104
2010-01-06,18:00:00,58.04394627143175
2010-01-06,19:00:00,65.36257300331374
2010-01-06,20:00:00,73.9048715735233
2010-01-06,21:00:00,84.61433622541355
2010-01-06,22:00:00,120.09219255134497
2010-01-06,23:00:00,124.57346918521692
2010-01-07,00:00:00,117.98704897053423
2010-01-07,01:00:00,111.07477471075447
2010-01-07,02:00:00,114.42390134228822
2010-01-07,03:00:00,111.2396780640495
2010-01-07,04:00:00,109.64496826414883
2010-01-07,05:00:00,99.4064610869162
2010-01-07,06:00:00,96.01506891696778
2010-01-07,07:00:00,103.97149563139057
2010-01-07,08:00:00,106.37940114030258
2010-01-07,09:00:00,106.7170414280741
2010-01-07,10:00:00,113.67569828103123
2010-01-07,11:00:00,113.45463422662104
2010-01-07,12:00:00,120.00935923447341
2010-01-07,13:00:00,122.92133711759358
2010-01-07,14:00:00,130.3361791466142
2010-01-07,15:00:00,134.66311297849293
2010-01-07,16:00:00,136.13125648392904
2010-01-07,17:00:00,126.30926969431272
2010-01-07,18:00:00,132.14624302790747
2010-01-07,19:00:00,141.5237678736424
2010-01-07,20:00:00,138.88915838767406
2010-01-07,21:00:00,135.73243356448376
2010-01-07,22:00:00,133.883440387795
2010-01-07,23:00:00,139.81576913494084
2010-01-08,00:00:00,142.49478887823778
2010-01-08,01:00:00,149.98995589514433
2010-01-08,02:00:00,158.395861103398
2010-01-08,03:00:00,163.11811526493867
2010-01-08,04:00:00,166.4625942760703
2010-01-08,05:00:00,175.45432890843438
2010-01-08,06:00:00,191.5879252467331
2010-01-08,07:00:00,209.7672336465398
2010-01-08,08:00:00,234.17129077627993
2010-01-08,09:00:00,266.02570319066854
2010-01-08,10:00:00,380.07104605161453
2010-01-08,11:00:00,468.322360477833
2010-01-08,12:00:00,632.0137234707565
2010-01-08,13:00:00,769.9484656715388
2010-01-08,14:00:00,792.8611056181021
2010-01-08,15:00:00,794.8017168260242
2010-01-08,16:00:00,793.1363704397038
2010-01-08,17:00:00,797.5725266049363
2010-01-08,18:00:00,805.7739865241872
2010-01-08,19:00:00,822.932748029768
2010-01-08,20:00:00,845.1533882518588
2010-01-08,21:00:00,857.9804343043863
2010-01-08,22:00:00,831.8874914888547
2010-01-08,23:00:00,847.6871338241775
2010-01-09,00:00:00,857.6436728505687
2010-01-09,01:00:00,861.362387553761
2010-01-09,02:00:00,870.7591470200945
2010-01-09,03:00:00,892.4073933388033
2010-01-09,04:00:00,904.103357448739
2010-01-09,05:00:00,903.7803388015732
2010-01-09,06:00:00,886.1889213888392
2010-01-09,07:00:00,861.3268571025039
2010-01-09,08:00:00,829.3714838456988
2010-01-09,09:00:00,798.9889660957874
2010-01-09,10:00:00,771.9217623588235
2010-01-09,11:00:00,753.0629771254655
2010-01-09,12:00:00,752.7727039512885
2010-01-09,13:00:00,741.6370778386324
2010-01-09,14:00:00,727.8324927734496
2010-01-09,15:00:00,717.9456037755841
2010-01-09,16:00:00,713.1487935647772
2010-01-09,17:00:00,708.3771743436891
2010-01-09,18:00:00,708.5940399200144
2010-01-09,19:00:00,707.8414848821562
2010-01-09,20:00:00,705.6878189347829
2010-01-09,21:00:00,701.5378270811667
2010-01-09,22:00:00,643.9882167709411
2010-01-09,23:00:00,614.5067404921871
2010-01-10,00:00:00,628.975074116931
2010-01-10,01:00:00,629.7595146890533
2010-01-10,02:00:00,565.3560269763844
2010-01-10,03:00:00,536.5681263181893
2010-01-10,04:00:00,540.7263314848346
2010-01-10,05:00:00,506.0910168953016
2010-01-10,06:00:00,469.7861282419402
2010-01-10,07:00:00,444.2547961092297
2010-01-10,08:00:00,421.23657436025746
2010-01-10,09:00:00,419.38392830192595
2010-01-10,10:00:00,443.38798646820374
2010-01-10,11:00:00,384.8751579489965
2010-01-10,12:00:00,393.6783334171796
2010-01-10,13:00:00,376.7626779953742
2010-01-10,14:00:00,366.40566566037955
2010-01-10,15:00:00,351.5758373957033
2010-01-10,16:00:00,294.13238122011774
2010-01-10,17:00:00,244.71384486020924
2010-01-10,18:00:00,222.63182951865465
2010-01-10,19:00:00,198.12434129989418
2010-01-10,20:00:00,192.66955894080274
2010-01-10,21:00:00,201.41822958196963
2010-01-10,22:00:00,160.82370328585438
2010-01-10,23:00:00,152.25036277932324
2010-01-11,00:00:00,146.12536878116012
2010-01-11,01:00:00,152.12411899598607
2010-01-11,02:00:00,146.97867362862058
2010-01-11,03:00:00,144.73740752582924
2010-01-11,04:00:00,149.84276268331212
2010-01-11,05:00:00,146.8255272815998
2010-01-11,06:00:00,148.162308331097
2010-01-11,07:00:00,152.96544183237836
2010-01-11,08:00:00,159.7577601321696
2010-01-11,09:00:00,162.21696064392677
2010-01-11,10:00:00,165.06607455401098
2010-01-11,11:00:00,163.5539123182617
2010-01-11,12:00:00,157.53013670524734
2010-01-11,13:00:00,148.85103327547083
2010-01-11,14:00:00,146.61494623615175
2010-01-11,15:00:00,147.89205199541976
2010-01-11,16:00:00,151.91634734979243
2010-01-11,17:00:00,154.59810389727008
2010-01-11,18:00:00,155.5169580151877
2010-01-11,19:00:00,156.83563770993973
2010-01-11,20:00:00,159.19035043979284
2010-01-11,21:00:00,164.9171098200536
2010-01-11,22:00:00,170.84135637326042
2010-01-11,23:00:00,175.21575354975656
2010-01-12,00:00:00,184.00937206427966
2010-01-12,01:00:00,185.43988283475844
2010-01-12,02:00:00,184.8249545288217
2010-01-12,03:00:00,181.9983475279832
2010-01-12,04:00:00,177.5777510004564
2010-01-12,05:00:00,173.62253030571995
2010-01-12,06:00:00,169.56034830589653
2010-01-12,07:00:00,172.68183441668356
2010-01-12,08:00:00,176.10568157974473
2010-01-12,09:00:00,180.59236057976392
2010-01-12,10:00:00,191.1150003549151
2010-01-12,11:00:00,193.95027988829037
2010-01-12,12:00:00,198.5744204831846
2010-01-12,13:00:00,198.5335891504451
2010-01-12,14:00:00,206.03977048089047
2010-01-12,15:00:00,213.51480131456702
2010-01-12,16:00:00,225.0864326486619
2010-01-12,17:00:00,237.27818833623647
