date,time,boundaryLayerHeight
2017-01-01,00:00:00,380.5851286661501
2017-01-01,01:00:00,549.2906258518992
2017-01-01,02:00:00,606.7643706466206
2017-01-01,03:00:00,614.491126181361
2017-01-01,04:00:00,724.533406141263
2017-01-01,05:00:00,726.9103944861083
2017-01-01,06:00:00,727.2414819164445
2017-01-01,07:00:00,716.6666699801785
2017-01-01,08:00:00,614.3315222682675
2017-01-01,09:00:00,743.9567915976778
2017-01-01,10:00:00,778.633016680374
2017-01-01,11:00:00,808.2627354787166
2017-01-01,12:00:00,964.3948945696661
2017-01-01,13:00:00,1054.8222798828315
2017-01-01,14:00:00,1005.273804468637
2017-01-01,15:00:00,953.5224799401543
2017-01-01,16:00:00,915.401823295211
2017-01-01,17:00:00,884.7111276527141
2017-01-01,18:00:00,886.431012737802
2017-01-01,19:00:00,851.0245411439869
2017-01-01,20:00:00,847.521333412065
2017-01-01,21:00:00,904.0681967397301
2017-01-01,22:00:00,935.7145997021212
2017-01-01,23:00:00,871.3016027345784
2017-01-02,00:00:00,982.8867794195914
2017-01-02,01:00:00,954.9670583814402
2017-01-02,02:00:00,860.755421941094
2017-01-02,03:00:00,663.7208535506466
2017-01-02,04:00:00,378.74799895847
2017-01-02,05:00:00,296.8532343162625
2017-01-02,06:00:00,236.5915691445608
2017-01-02,07:00:00,235.10877135081395
2017-01-02,08:00:00,299.6211046162289
2017-01-02,09:00:00,365.8362517746749
2017-01-02,10:00:00,310.75717876336785
2017-01-02,11:00:00,371.36960955960774
2017-01-02,12:00:00,340.04798077841446
2017-01-02,13:00:00,289.0052837624621
2017-01-02,14:00:00,267.2770498659513
2017-01-02,15:00:00,219.51135988362807
2017-01-02,16:00:00,177.3921615137967
2017-01-02,17:00:00,161.13807147074493
2017-01-02,18:00:00,162.14682973417433
2017-01-02,19:00:00,173.04839615797192
2017-01-02,20:00:00,174.38826126672822
2017-01-02,21:00:00,201.38037649883503
2017-01-02,22:00:00,219.7994019635534
2017-01-02,23:00:00,196.4379390476173
2017-01-03,00:00:00,166.2978385008593
2017-01-03,01:00:00,196.35617821647435
2017-01-03,02:00:00,187.95069424626172
2017-01-03,03:00:00,238.7391235615159
2017-01-03,04:00:00,298.37643587331405
2017-01-03,05:00:00,370.165927514642
2017-01-03,06:00:00,339.2833208636271
2017-01-03,07:00:00,159.61284791353398
2017-01-03,08:00:00,210.33410248176193
2017-01-03,09:00:00,581.7579360008899
2017-01-03,10:00:00,1020.4000544856224
2017-01-03,11:00:00,1578.9505393076583
2017-01-03,12:00:00,1576.292289251046
2017-01-03,13:00:00,1434.2328173838125
2017-01-03,14:00:00,1384.1851350383647
2017-01-03,15:00:00,1327.6647831883092
2017-01-03,16:00:00,1342.862926016953
2017-01-03,17:00:00,1326.8330346825564
2017-01-03,18:00:00,1269.2944444579211
2017-01-03,19:00:00,1048.893413188508
2017-01-03,20:00:00,976.3518295233814
2017-01-03,21:00:00,932.7987904493909
2017-01-03,22:00:00,1178.9271662482183
2017-01-03,23:00:00,1338.2195725086165
2017-01-04,00:00:00,1269.3345045334213
2017-01-04,01:00:00,903.9018211267215
2017-01-04,02:00:00,754.5761077378094
2017-01-04,03:00:00,880.0664862122545
2017-01-04,04:00:00,816.0419493972211
2017-01-04,05:00:00,813.690872918291
2017-01-04,06:00:00,1280.1364027342183
2017-01-04,07:00:00,1266.984211554785
2017-01-04,08:00:00,1044.9197666718655
2017-01-04,09:00:00,991.9301517745885
2017-01-04,10:00:00,1102.595158454869
2017-01-04,11:00:00,676.9441050529516
2017-01-04,12:00:00,838.8454382496203
2017-01-04,13:00:00,832.9420855783321
2017-01-04,14:00:00,827.5764567670723
2017-01-04,15:00:00,798.2559091827102
2017-01-04,16:00:00,756.7850008006827
2017-01-04,17:00:00,719.6748440984447
2017-01-04,18:00:00,713.7701598598335
2017-01-04,19:00:00,740.3699439125351
2017-01-04,20:00:00,733.3214242069539
2017-01-04,21:00:00,634.4307220575212
2017-01-04,22:00:00,1196.563636888256
2017-01-04,23:00:00,1004.3809721518272
2017-01-05,00:00:00,760.3789370951479
2017-01-05,01:00:00,432.9090747716499
2017-01-05,02:00:00,311.3771160884999
2017-01-05,03:00:00,263.01554691074193
2017-01-05,04:00:00,246.39906035017967
2017-01-05,05:00:00,243.6510281458486
2017-01-05,06:00:00,248.2093462989524
2017-01-05,07:00:00,256.3981380784248
2017-01-05,08:00:00,266.68841039784814
2017-01-05,09:00:00,290.934403328133
2017-01-05,10:00:00,343.68750228236536
2017-01-05,11:00:00,374.06046876216396
2017-01-05,12:00:00,401.4939345375016
2017-01-05,13:00:00,434.46666401394225
2017-01-05,14:00:00,462.89276790811437
2017-01-05,15:00:00,511.11894375934696
2017-01-05,16:00:00,602.3919600498905
2017-01-05,17:00:00,740.8660208118358
2017-01-05,18:00:00,864.5683545335287
2017-01-05,19:00:00,895.5898500186665
