date,time,boundaryLayerHeight
2017-01-01,00:00:00,290.94053469073003
2017-01-01,01:00:00,345.17528948385973
2017-01-01,02:00:00,404.9654850028647
2017-01-01,03:00:00,405.1884671726349
2017-01-01,04:00:00,482.020866308178
2017-01-01,05:00:00,596.0994540265189
2017-01-01,06:00:00,570.056419726521
2017-01-01,07:00:00,453.46825331537894
2017-01-01,08:00:00,362.35952577117365
2017-01-01,09:00:00,321.6062810322458
2017-01-01,10:00:00,279.9969461308015
2017-01-01,11:00:00,258.62413552446935
2017-01-01,12:00:00,251.46165804527442
2017-01-01,13:00:00,262.80855206736976
2017-01-01,14:00:00,317.1306416897037
2017-01-01,15:00:00,429.89172467395997
2017-01-01,16:00:00,512.8609659344011
2017-01-01,17:00:00,554.2009921319058
2017-01-01,18:00:00,582.9433913675862
2017-01-01,19:00:00,563.1597198822219
2017-01-01,20:00:00,512.7752798280221
2017-01-01,21:00:00,422.1692729037775
2017-01-01,22:00:00,423.7329845190843
2017-01-01,23:00:00,404.40000107913556
2017-01-02,00:00:00,375.05014278681404
2017-01-02,01:00:00,324.8303991292544
2017-01-02,02:00:00,330.168457659246
2017-01-02,03:00:00,317.10467953907977
2017-01-02,04:00:00,309.00939983991395
2017-01-02,05:00:00,289.0795720947456
2017-01-02,06:00:00,278.17265723928045
2017-01-02,07:00:00,276.50590638485795
2017-01-02,08:00:00,281.9346680601068
2017-01-02,09:00:00,266.81176519318456
2017-01-02,10:00:00,288.73854926872144
2017-01-02,11:00:00,254.0281314438085
2017-01-02,12:00:00,222.99477167334345
2017-01-02,13:00:00,206.83328272236326
2017-01-02,14:00:00,193.03988283321985
2017-01-02,15:00:00,188.71826902157144
2017-01-02,16:00:00,180.26046956392707
2017-01-02,17:00:00,169.41854260912254
2017-01-02,18:00:00,156.1921339626497
2017-01-02,19:00:00,146.32856661532685
2017-01-02,20:00:00,147.1364780775105
2017-01-02,21:00:00,148.21790422099954
2017-01-02,22:00:00,145.87633608148388
2017-01-02,23:00:00,148.07365102285024
2017-01-03,00:00:00,126.68842011156758
2017-01-03,01:00:00,121.57395663683677
2017-01-03,02:00:00,117.83024671391402
2017-01-03,03:00:00,136.40668641101837
2017-01-03,04:00:00,156.85510866674966
2017-01-03,05:00:00,151.22575742549057
2017-01-03,06:00:00,134.9633883519884
2017-01-03,07:00:00,116.07155031287841
2017-01-03,08:00:00,92.01307831264504
2017-01-03,09:00:00,83.4807117812455
2017-01-03,10:00:00,88.98224316713225
2017-01-03,11:00:00,54.72833362751582
2017-01-03,12:00:00,76.2023117486726
2017-01-03,13:00:00,210.23802407094223
2017-01-03,14:00:00,489.0724154709634
2017-01-03,15:00:00,1177.2295754462994
2017-01-03,16:00:00,1076.6977063461295
2017-01-03,17:00:00,839.8895271465442
2017-01-03,18:00:00,763.1297517496062
2017-01-03,19:00:00,685.142497072899
2017-01-03,20:00:00,622.5338721634735
2017-01-03,21:00:00,633.5911670662653
2017-01-03,22:00:00,670.8466359908361
2017-01-03,23:00:00,657.9369606090243
2017-01-04,00:00:00,699.5455257645194
2017-01-04,01:00:00,646.4576818952768
2017-01-04,02:00:00,566.7141185560429
2017-01-04,03:00:00,515.7256200341411
2017-01-04,04:00:00,506.42794500922116
2017-01-04,05:00:00,519.5816325527294
2017-01-04,06:00:00,459.5128226653772
2017-01-04,07:00:00,398.51835012027425
2017-01-04,08:00:00,426.7521551150596
2017-01-04,09:00:00,482.89511399437174
2017-01-04,10:00:00,1370.9968957308442
2017-01-04,11:00:00,1495.8859125000579
2017-01-04,12:00:00,1574.9312166160341
2017-01-04,13:00:00,1499.594200377149
2017-01-04,14:00:00,1410.6376640252513
2017-01-04,15:00:00,1216.9978589262448
2017-01-04,16:00:00,991.6583279008156
2017-01-04,17:00:00,877.3167577531382
2017-01-04,18:00:00,840.9167372854747
2017-01-04,19:00:00,836.084026532205
2017-01-04,20:00:00,831.024072971799
2017-01-04,21:00:00,807.1160295566318
2017-01-04,22:00:00,875.7103764868834
2017-01-04,23:00:00,872.0845296645174
2017-01-05,00:00:00,879.1612938485305
2017-01-05,01:00:00,871.8414343968352
2017-01-05,02:00:00,819.2291157653439
2017-01-05,03:00:00,689.279593886797
2017-01-05,04:00:00,586.299533483751
2017-01-05,05:00:00,520.842286083655
2017-01-05,06:00:00,482.7930683943774
2017-01-05,07:00:00,434.5194281651199
2017-01-05,08:00:00,391.88551241414467
2017-01-05,09:00:00,356.9542034390384
2017-01-05,10:00:00,311.92431844287796
2017-01-05,11:00:00,312.0656565839822
2017-01-05,12:00:00,305.1186795377131
2017-01-05,13:00:00,304.5558554624316
2017-01-05,14:00:00,306.2750213704759
2017-01-05,15:00:00,300.7782475684225
2017-01-05,16:00:00,299.9433445756077
2017-01-05,17:00:00,307.8400987812874
2017-01-05,18:00:00,320.49996370042294
2017-01-05,19:00:00,336.49476302639033
2017-01-05,20:00:00,358.5215035790031
2017-01-05,21:00:00,364.95270597216347
2017-01-05,22:00:00,369.6732511736283
2017-01-05,23:00:00,374.47484206445876
2017-01-06,00:00:00,403.3842322381712
2017-01-06,01:00:00,419.3780816830574
2017-01-06,02:00:00,463.91573107528995
2017-01-06,03:00:00,498.35749733927685
2017-01-06,04:00:00,526.4639267516263
2017-01-06,05:00:00,553.0455272516951
2017-01-06,06:00:00,619.9644818317234
2017-01-06,07:00:00,713.2847505776211
2017-01-06,08:00:00,819.9865442678722
2017-01-06,09:00:00,884.7073592673414
2017-01-06,10:00:00,850.6822523196738
2017-01-06,11:00:00,888.5463313620252
2017-01-06,12:00:00,867.4942731529966
2017-01-06,13:00:00,764.5298667052834
2017-01-06,14:00:00,711.2120344790787
2017-01-06,15:00:00,675.1466388152883
2017-01-06,16:00:00,670.0850807665228
2017-01-06,17:00:00,652.0989745022105
2017-01-06,18:00:00,658.4911451746349
2017-01-06,19:00:00,726.2058767176306
2017-01-06,20:00:00,791.5696274532835
2017-01-06,21:00:00,798.0521732067292
2017-01-06,22:00:00,586.8327220085521
2017-01-06,23:00:00,468.3249043031183
2017-01-07,00:00:00,371.5608095452375
2017-01-07,01:00:00,273.20458382995906
2017-01-07,02:00:00,210.08971734737327
2017-01-07,03:00:00,188.857197074667
2017-01-07,04:00:00,201.50244331386688
2017-01-07,05:00:00,253.62772116378846
2017-01-07,06:00:00,323.45529680589146
2017-01-07,07:00:00,448.190439362492
