date,time,boundaryLayerHeight
2010-01-01,00:00:00,4.196329301319757
2010-01-01,01:00:00,14.856963451726777
2010-01-01,02:00:00,31.075091374582925
2010-01-01,03:00:00,39.997874792094606
2010-01-01,04:00:00,43.43103664095469
2010-01-01,05:00:00,74.79011678758675
2010-01-01,06:00:00,117.61804376409597
2010-01-01,07:00:00,156.24515510731828
2010-01-01,08:00:00,175.37451677281604
2010-01-01,09:00:00,178.56368812771686
2010-01-01,10:00:00,93.42327036227925
2010-01-01,11:00:00,89.04657505708926
2010-01-01,12:00:00,106.38672321934237
2010-01-01,13:00:00,105.16522513446002
2010-01-01,14:00:00,133.1451842508871
2010-01-01,15:00:00,174.14123346983877
2010-01-01,16:00:00,196.205290951906
2010-01-01,17:00:00,197.34691416593643
2010-01-01,18:00:00,186.05235228251766
2010-01-01,19:00:00,163.8587193361176
2010-01-01,20:00:00,135.65253291045354
2010-01-01,21:00:00,121.48949753598393
2010-01-01,22:00:00,92.84709888394963
2010-01-01,23:00:00,95.33186412324379
2010-01-02,00:00:00,96.94646189541766
2010-01-02,01:00:00,112.05273758824359
2010-01-02,02:00:00,123.8459654537686
2010-01-02,03:00:00,132.27256466322356
2010-01-02,04:00:00,147.95562486412425
2010-01-02,05:00:00,191.64461498930774
2010-01-02,06:00:00,252.91488091850346
2010-01-02,07:00:00,300.33834280546535
2010-01-02,08:00:00,322.1855938527401
2010-01-02,09:00:00,370.2212664164756
2010-01-02,10:00:00,312.91931939484164
2010-01-02,11:00:00,288.5279851749683
2010-01-02,12:00:00,369.32434574340965
2010-01-02,13:00:00,439.40486967614123
2010-01-02,14:00:00,532.2865807964566
2010-01-02,15:00:00,583.4282977666303
2010-01-02,16:00:00,474.462459934755
2010-01-02,17:00:00,321.1494322305918
2010-01-02,18:00:00,253.2159455471542
2010-01-02,19:00:00,252.91852159227574
2010-01-02,20:00:00,244.3777778938649
2010-01-02,21:00:00,242.09273166590464
2010-01-02,22:00:00,226.5713750747211
2010-01-02,23:00:00,215.1067296840621
2010-01-03,00:00:00,219.0215955151578
2010-01-03,01:00:00,217.04977188105607
2010-01-03,02:00:00,217.89796954330848
2010-01-03,03:00:00,236.27286984578762
2010-01-03,04:00:00,257.29362823674563
2010-01-03,05:00:00,292.07414506124724
2010-01-03,06:00:00,311.84985770673154
2010-01-03,07:00:00,316.5273104278492
2010-01-03,08:00:00,293.6543140453962
2010-01-03,09:00:00,269.39005762698514
2010-01-03,10:00:00,275.37833312306884
2010-01-03,11:00:00,262.37976319874787
2010-01-03,12:00:00,216.03381003805217
2010-01-03,13:00:00,173.60011138996984
2010-01-03,14:00:00,158.61977780952827
2010-01-03,15:00:00,151.64038192889393
2010-01-03,16:00:00,148.58994536752232
2010-01-03,17:00:00,149.95878871592308
2010-01-03,18:00:00,158.2799456741228
2010-01-03,19:00:00,163.79725666109144
2010-01-03,20:00:00,164.13466590449812
2010-01-03,21:00:00,163.8348935111276
2010-01-03,22:00:00,169.54734564086164
2010-01-03,23:00:00,166.80658935452976
2010-01-04,00:00:00,164.99030129038957
2010-01-04,01:00:00,161.46680120233614
2010-01-04,02:00:00,162.8830984077721
2010-01-04,03:00:00,161.51930944810465
2010-01-04,04:00:00,161.26822288151786
2010-01-04,05:00:00,161.80428093706143
2010-01-04,06:00:00,162.78983624048436
2010-01-04,07:00:00,163.39673695701936
2010-01-04,08:00:00,162.04120349135118
2010-01-04,09:00:00,160.8476465484674
2010-01-04,10:00:00,162.40983703765525
2010-01-04,11:00:00,164.37646586296862
2010-01-04,12:00:00,171.60009428329312
2010-01-04,13:00:00,168.97334718775045
2010-01-04,14:00:00,165.94873236972694
2010-01-04,15:00:00,168.3615975507503
2010-01-04,16:00:00,185.40766182405815
2010-01-04,17:00:00,213.3992187072834
2010-01-04,18:00:00,249.59969106328919
2010-01-04,19:00:00,287.2662567844166
2010-01-04,20:00:00,305.24637283705437
2010-01-04,21:00:00,307.2357662934578
2010-01-04,22:00:00,361.5991661492336
2010-01-04,23:00:00,312.45575286904597
2010-01-05,00:00:00,330.7305985757359
2010-01-05,01:00:00,299.72778407645916
2010-01-05,02:00:00,244.21744956461276
2010-01-05,03:00:00,196.1921565914985
2010-01-05,04:00:00,157.77099574500087
2010-01-05,05:00:00,135.70382488365942
2010-01-05,06:00:00,125.28073560849262
2010-01-05,07:00:00,119.38214312252165
2010-01-05,08:00:00,119.23695003584632
2010-01-05,09:00:00,122.72613200092029
2010-01-05,10:00:00,119.58975562296341
2010-01-05,11:00:00,122.29469867498828
2010-01-05,12:00:00,131.1659021719019
2010-01-05,13:00:00,134.039801500542
2010-01-05,14:00:00,122.49938034194908
2010-01-05,15:00:00,127.43414635539655
2010-01-05,16:00:00,144.78610702685654
2010-01-05,17:00:00,163.31959373542628
2010-01-05,18:00:00,168.39086153373378
2010-01-05,19:00:00,160.92685213035813
2010-01-05,20:00:00,134.22560611168637
2010-01-05,21:00:00,109.92611430080106
2010-01-05,22:00:00,76.33570116591206
2010-01-05,23:00:00,62.12879423120492
2010-01-06,00:00:00,51.52692164335319
2010-01-06,01:00:00,42.18194133707067
2010-01-06,02:00:00,42.32774281024933
2010-01-06,03:00:00,44.34122774336642
2010-01-06,04:00:00,43.569826544230466
2010-01-06,05:00:00,40.01148420556618
2010-01-06,06:00:00,38.270506143869
2010-01-06,07:00:00,40.559192092166505
2010-01-06,08:00:00,40.90427680167143
2010-01-06,09:00:00,45.34638829616677
2010-01-06,10:00:00,47.22043416001964
2010-01-06,11:00:00,44.42449664289282
2010-01-06,12:00:00,40.84664044520029
2010-01-06,13:00:00,43.075284121206664
2010-01-06,14:00:00,46.508509619849306
2010-01-06,15:00:00,47.972819576457155
2010-01-06,16:00:00,50.078083213084454
2010-01-06,17:00:00,52.188266617662315
2010-01-06,18:00:00,59.858822327939585
2010-01-06,19:00:00,68.36871291540267
2010-01-06,20:00:00,77.90794602876373
2010-01-06,21:00:00,84.06907722880361
2010-01-06,22:00:00,105.65822050929098
2010-01-06,23:00:00,105.52469579379076
2010-01-07,00:00:00,101.6222171870127
2010-01-07,01:00:00,96.01666558499196
2010-01-07,02:00:00,97.77468266905265
2010-01-07,03:00:00,94.51686962327615
2010-01-07,04:00:00,89.23469848826711
2010-01-07,05:00:00,88.06935181251755
2010-01-07,06:00:00,89.74547056592911
2010-01-07,07:00:00,97.82119105260006
2010-01-07,08:00:00,99.78893563605473
2010-01-07,09:00:00,102.08497984011399
2010-01-07,10:00:00,101.64707912322739
2010-01-07,11:00:00,103.59489609664303
2010-01-07,12:00:00,107.37734477724801
2010-01-07,13:00:00,112.38665579547859
2010-01-07,14:00:00,120.87106070817266
2010-01-07,15:00:00,128.1641527538438
2010-01-07,16:00:00,129.76306136332528
2010-01-07,17:00:00,123.60428430366102
2010-01-07,18:00:00,129.4202376672446
2010-01-07,19:00:00,134.11520277423824
2010-01-07,20:00:00,133.48721404571492
2010-01-07,21:00:00,132.28726519276532
2010-01-07,22:00:00,134.512257879544
2010-01-07,23:00:00,141.21088671196037
2010-01-08,00:00:00,144.51428655464355
2010-01-08,01:00:00,152.06926521046472
2010-01-08,02:00:00,160.70645218348423
2010-01-08,03:00:00,165.20645558194713
2010-01-08,04:00:00,167.91403042723852
2010-01-08,05:00:00,174.98662957475898
