date,time,boundaryLayerHeight
2010-01-01,00:00:00,23.96372999704655
2010-01-01,01:00:00,34.09979825196083
2010-01-01,02:00:00,50.02812807185791
2010-01-01,03:00:00,60.41417230417284
2010-01-01,04:00:00,64.54604999899921
2010-01-01,05:00:00,95.23137115445067
2010-01-01,06:00:00,138.6981070589768
2010-01-01,07:00:00,175.06915058309272
2010-01-01,08:00:00,188.402292530434
2010-01-01,09:00:00,168.89774164665934
2010-01-01,10:00:00,103.74881710665056
2010-01-01,11:00:00,105.1903581167215
2010-01-01,12:00:00,112.85160598631194
2010-01-01,13:00:00,119.47521173219066
2010-01-01,14:00:00,162.07029508467537
2010-01-01,15:00:00,197.06437092757963
2010-01-01,16:00:00,223.75060966787842
2010-01-01,17:00:00,227.4342950041623
2010-01-01,18:00:00,209.70821502275376
2010-01-01,19:00:00,186.51038885314392
2010-01-01,20:00:00,159.39966563775795
2010-01-01,21:00:00,137.8212160219927
2010-01-01,22:00:00,107.32023883247176
2010-01-01,23:00:00,104.91029481516935
2010-01-02,00:00:00,103.80654301850508
2010-01-02,01:00:00,116.3164931627586
2010-01-02,02:00:00,122.31753276041233
2010-01-02,03:00:00,130.01304200076402
2010-01-02,04:00:00,154.03639150590942
2010-01-02,05:00:00,204.43678173978628
2010-01-02,06:00:00,265.796487313337
2010-01-02,07:00:00,304.21520432697014
2010-01-02,08:00:00,312.89054230173724
2010-01-02,09:00:00,340.0933188336557
2010-01-02,10:00:00,301.63222710639224
2010-01-02,11:00:00,308.54672906924463
2010-01-02,12:00:00,452.7034615469899
2010-01-02,13:00:00,541.1795421914121
2010-01-02,14:00:00,642.8809250680218
2010-01-02,15:00:00,604.9910811254517
2010-01-02,16:00:00,407.5409069211381
2010-01-02,17:00:00,273.4480201004494
2010-01-02,18:00:00,243.55710706047347
2010-01-02,19:00:00,252.03350017694532
2010-01-02,20:00:00,243.29515486208484
2010-01-02,21:00:00,232.41971858382055
2010-01-02,22:00:00,215.7398519462874
2010-01-02,23:00:00,211.1836794823396
2010-01-03,00:00:00,219.5901635999752
2010-01-03,01:00:00,221.91044904523898
2010-01-03,02:00:00,229.91421732139338
2010-01-03,03:00:00,249.21465864876222
2010-01-03,04:00:00,269.1229081233709
2010-01-03,05:00:00,303.37040236339294
2010-01-03,06:00:00,317.7507594800333
2010-01-03,07:00:00,310.93987203051495
2010-01-03,08:00:00,283.07686503886214
2010-01-03,09:00:00,275.3313539087309
2010-01-03,10:00:00,302.9580510416899
2010-01-03,11:00:00,287.4741876901202
2010-01-03,12:00:00,240.31589428302922
2010-01-03,13:00:00,186.01036731622833
2010-01-03,14:00:00,163.58242902107762
2010-01-03,15:00:00,151.48178010691854
2010-01-03,16:00:00,149.60912552583284
2010-01-03,17:00:00,152.9738175841196
2010-01-03,18:00:00,162.04514403958026
2010-01-03,19:00:00,167.03392518644068
2010-01-03,20:00:00,166.47605869172753
2010-01-03,21:00:00,165.6477422892213
2010-01-03,22:00:00,171.39356216582604
2010-01-03,23:00:00,168.3873749081218
2010-01-04,00:00:00,166.47317378571512
2010-01-04,01:00:00,162.63042998239612
2010-01-04,02:00:00,163.54574228472615
2010-01-04,03:00:00,161.95339047358308
2010-01-04,04:00:00,161.9040054617415
2010-01-04,05:00:00,162.53472586240224
2010-01-04,06:00:00,163.3471838351426
2010-01-04,07:00:00,163.9974614601388
2010-01-04,08:00:00,162.34174442343414
2010-01-04,09:00:00,161.2360045365583
2010-01-04,10:00:00,164.7554116804706
2010-01-04,11:00:00,165.83582411665878
2010-01-04,12:00:00,171.541899015112
2010-01-04,13:00:00,169.26722733532847
2010-01-04,14:00:00,169.02358619161296
2010-01-04,15:00:00,178.78924828579753
2010-01-04,16:00:00,204.13180245779688
2010-01-04,17:00:00,237.32997591972867
2010-01-04,18:00:00,265.41175075717325
2010-01-04,19:00:00,287.04416489727595
2010-01-04,20:00:00,290.2630541921167
2010-01-04,21:00:00,286.98049992756904
2010-01-04,22:00:00,303.2179415266275
2010-01-04,23:00:00,277.5604263822439
2010-01-05,00:00:00,274.5238325496056
2010-01-05,01:00:00,236.39411745630974
2010-01-05,02:00:00,192.5048449381868
2010-01-05,03:00:00,157.37449349056692
2010-01-05,04:00:00,132.18615542635
2010-01-05,05:00:00,117.45951917084284
2010-01-05,06:00:00,111.67324554428063
2010-01-05,07:00:00,110.59668872705477
2010-01-05,08:00:00,114.09724635344884
2010-01-05,09:00:00,118.63066570693654
2010-01-05,10:00:00,117.16141620372807
2010-01-05,11:00:00,120.11753285113053
2010-01-05,12:00:00,129.6260975918463
2010-01-05,13:00:00,135.04731400823644
2010-01-05,14:00:00,129.10474076207512
2010-01-05,15:00:00,134.60332921599388
2010-01-05,16:00:00,147.10927986502685
2010-01-05,17:00:00,156.17636655172322
2010-01-05,18:00:00,160.72321658043745
2010-01-05,19:00:00,157.08621775346907
2010-01-05,20:00:00,131.77468053565707
2010-01-05,21:00:00,107.4389521248192
2010-01-05,22:00:00,69.5747873875303
2010-01-05,23:00:00,57.63278160756032
2010-01-06,00:00:00,49.10307586062731
2010-01-06,01:00:00,42.37203470615915
2010-01-06,02:00:00,43.128825460130805
2010-01-06,03:00:00,44.89257413285946
2010-01-06,04:00:00,44.15963853959092
2010-01-06,05:00:00,40.45587050069482
2010-01-06,06:00:00,38.88258945275396
2010-01-06,07:00:00,41.103292936070396
2010-01-06,08:00:00,41.624683050982355
2010-01-06,09:00:00,45.593052142292294
2010-01-06,10:00:00,48.63856425680027
2010-01-06,11:00:00,45.63087887255875
2010-01-06,12:00:00,41.998626977518384
2010-01-06,13:00:00,44.1018961119973
2010-01-06,14:00:00,46.46680752756795
2010-01-06,15:00:00,47.57047779711728
2010-01-06,16:00:00,49.97352901395949
2010-01-06,17:00:00,52.19184807376854
2010-01-06,18:00:00,60.143658022901526
2010-01-06,19:00:00,68.85868999538518
2010-01-06,20:00:00,78.36205648095422
2010-01-06,21:00:00,82.9068044763375
2010-01-06,22:00:00,103.3199142661451
2010-01-06,23:00:00,104.8302134056617
2010-01-07,00:00:00,103.33964676655867
2010-01-07,01:00:00,97.11649495691785
2010-01-07,02:00:00,96.93128479511306
2010-01-07,03:00:00,93.58027755171054
2010-01-07,04:00:00,87.36236929075392
2010-01-07,05:00:00,87.50227094737744
2010-01-07,06:00:00,88.37326615492057
2010-01-07,07:00:00,96.18477746230165
2010-01-07,08:00:00,97.33671931065837
2010-01-07,09:00:00,99.17877959145365
2010-01-07,10:00:00,96.1405384807835
2010-01-07,11:00:00,98.88671042146989
2010-01-07,12:00:00,102.34780636177203
2010-01-07,13:00:00,106.59660472765069
2010-01-07,14:00:00,116.68318863966817
2010-01-07,15:00:00,124.15010303458101
2010-01-07,16:00:00,125.14441485441182
2010-01-07,17:00:00,121.33414509587968
2010-01-07,18:00:00,126.89258496807294
2010-01-07,19:00:00,132.00362425862033
2010-01-07,20:00:00,132.42455133109954
2010-01-07,21:00:00,131.36293800159885
2010-01-07,22:00:00,135.12182632318928
2010-01-07,23:00:00,141.1701719892212
2010-01-08,00:00:00,144.41333072498756
2010-01-08,01:00:00,151.08622813894644
2010-01-08,02:00:00,158.9617062269425
2010-01-08,03:00:00,163.94062638445524
2010-01-08,04:00:00,166.7309023391618
2010-01-08,05:00:00,172.9431907394213
2010-01-08,06:00:00,185.84935716433716
2010-01-08,07:00:00,202.96483904624995
2010-01-08,08:00:00,226.84502528329506
2010-01-08,09:00:00,256.8282697157181
2010-01-08,10:00:00,356.08723240389895
2010-01-08,11:00:00,418.6670218631627
2010-01-08,12:00:00,513.6044928027925
2010-01-08,13:00:00,743.6063293211122
2010-01-08,14:00:00,783.9228438631087
2010-01-08,15:00:00,799.8247645183668
2010-01-08,16:00:00,806.4495451310264
2010-01-08,17:00:00,809.4852565510068
2010-01-08,18:00:00,812.9305300689059
2010-01-08,19:00:00,827.9613758475368
2010-01-08,20:00:00,847.5507161088102
2010-01-08,21:00:00,862.8920172903489
2010-01-08,22:00:00,838.0180334346687
2010-01-08,23:00:00,860.555616119574
2010-01-09,00:00:00,872.5409376729251
2010-01-09,01:00:00,878.312726298614
2010-01-09,02:00:00,889.2492250244501
2010-01-09,03:00:00,919.1096610148907
2010-01-09,04:00:00,948.6620301760742
2010-01-09,05:00:00,965.0176314467169
2010-01-09,06:00:00,959.1737340550837
2010-01-09,07:00:00,946.9481577767918
2010-01-09,08:00:00,894.9151265865235
2010-01-09,09:00:00,854.3239169488832
2010-01-09,10:00:00,809.5429648797972
2010-01-09,11:00:00,782.3112438022059
2010-01-09,12:00:00,775.8365518868075
2010-01-09,13:00:00,765.2349793641629
2010-01-09,14:00:00,748.0997599898675
2010-01-09,15:00:00,731.6911521061403
2010-01-09,16:00:00,721.8459421929749
2010-01-09,17:00:00,715.9746603020169
2010-01-09,18:00:00,714.3848374294862
2010-01-09,19:00:00,712.5956002477633
2010-01-09,20:00:00,710.2494712086387
2010-01-09,21:00:00,705.553923443358
2010-01-09,22:00:00,677.5074313825264
2010-01-09,23:00:00,625.3904665206248
2010-01-10,00:00:00,636.019145227377
2010-01-10,01:00:00,641.8514235353227
2010-01-10,02:00:00,593.8909479397532
2010-01-10,03:00:00,549.1182170260781
2010-01-10,04:00:00,546.7203835582571
2010-01-10,05:00:00,502.53355129475267
2010-01-10,06:00:00,449.8640697314235
2010-01-10,07:00:00,422.3954198213222
2010-01-10,08:00:00,403.6300587490626
2010-01-10,09:00:00,377.87271761949825
2010-01-10,10:00:00,374.0943930301395
2010-01-10,11:00:00,375.5091111649998
2010-01-10,12:00:00,332.7993744528094
2010-01-10,13:00:00,338.191826983445
2010-01-10,14:00:00,318.3111376325812
2010-01-10,15:00:00,294.2449049891843
2010-01-10,16:00:00,266.9809362054467
2010-01-10,17:00:00,236.94944401482866
2010-01-10,18:00:00,230.52800257139086
2010-01-10,19:00:00,223.11424650977614
2010-01-10,20:00:00,210.0801744237354
2010-01-10,21:00:00,205.55910640344632
2010-01-10,22:00:00,164.2408265604565
2010-01-10,23:00:00,159.21235041914335
2010-01-11,00:00:00,153.02715071939392
2010-01-11,01:00:00,159.43171101578966
2010-01-11,02:00:00,161.99378334348353
2010-01-11,03:00:00,159.1592462248082
2010-01-11,04:00:00,165.42141469893102
2010-01-11,05:00:00,161.93011753004495
2010-01-11,06:00:00,158.87163174821222
2010-01-11,07:00:00,163.0568073716343
2010-01-11,08:00:00,171.58842358904022
2010-01-11,09:00:00,177.87258295948874
2010-01-11,10:00:00,178.8148850963898
2010-01-11,11:00:00,172.25577077377207
2010-01-11,12:00:00,164.88437559840548
2010-01-11,13:00:00,154.7256748404002
2010-01-11,14:00:00,149.80088444164542
2010-01-11,15:00:00,148.34306767201323
2010-01-11,16:00:00,151.34937935916514
2010-01-11,17:00:00,155.248726748054
2010-01-11,18:00:00,157.67333741927789
2010-01-11,19:00:00,158.05771837814973
2010-01-11,20:00:00,161.2800990144172
2010-01-11,21:00:00,169.04557625627203
2010-01-11,22:00:00,175.25290144252955
2010-01-11,23:00:00,176.73760072626231
2010-01-12,00:00:00,186.33657068079953
2010-01-12,01:00:00,185.96297965977584
2010-01-12,02:00:00,190.53587981511322
2010-01-12,03:00:00,193.27102616767937
2010-01-12,04:00:00,193.912251348215
2010-01-12,05:00:00,190.12539850128442
2010-01-12,06:00:00,184.6854174704025
2010-01-12,07:00:00,183.3712312370585
2010-01-12,08:00:00,181.65195614163292
2010-01-12,09:00:00,183.05167846048198
2010-01-12,10:00:00,188.3069493677058
2010-01-12,11:00:00,186.74118755001268
2010-01-12,12:00:00,190.60398539884903
2010-01-12,13:00:00,189.41732526517603
2010-01-12,14:00:00,190.0752032739038
2010-01-12,15:00:00,187.72084104544518
2010-01-12,16:00:00,191.64990317901365
2010-01-12,17:00:00,200.92206527590713
2010-01-12,18:00:00,211.60815994560377
2010-01-12,19:00:00,224.12222999873467
2010-01-12,20:00:00,224.95450251666102
2010-01-12,21:00:00,216.71005956023237
2010-01-12,22:00:00,222.99766641181475
2010-01-12,23:00:00,203.34927588687094
2010-01-13,00:00:00,187.06680911127066
2010-01-13,01:00:00,176.78493295742737
2010-01-13,02:00:00,179.03364915368678
2010-01-13,03:00:00,184.5609746100589
2010-01-13,04:00:00,192.49536092537988
2010-01-13,05:00:00,206.41647543348245
2010-01-13,06:00:00,212.8477526606118
2010-01-13,07:00:00,223.8936966605103
2010-01-13,08:00:00,224.44370266331333
2010-01-13,09:00:00,226.7027372758772
2010-01-13,10:00:00,247.76889641704008
2010-01-13,11:00:00,253.94720799005836
2010-01-13,12:00:00,275.1069037539328
2010-01-13,13:00:00,310.9484488897033
2010-01-13,14:00:00,354.2048315960495
2010-01-13,15:00:00,407.8131862873628
2010-01-13,16:00:00,419.08284720191375
2010-01-13,17:00:00,443.43084515408157
2010-01-13,18:00:00,456.94241214197734
2010-01-13,19:00:00,441.3755158657004
2010-01-13,20:00:00,416.09552740202497
2010-01-13,21:00:00,363.53180694866
2010-01-13,22:00:00,295.13232916637224
2010-01-13,23:00:00,241.6510130260947
2010-01-14,00:00:00,203.1541374830735
2010-01-14,01:00:00,171.69733136017066
2010-01-14,02:00:00,150.9167822027415
2010-01-14,03:00:00,133.66944103727062
2010-01-14,04:00:00,129.62421086300583
2010-01-14,05:00:00,124.51203185824045
2010-01-14,06:00:00,120.2838618785818
2010-01-14,07:00:00,116.73746416959904
2010-01-14,08:00:00,116.54441914751013
2010-01-14,09:00:00,116.81174510284428
2010-01-14,10:00:00,126.85921809997086
2010-01-14,11:00:00,120.9696182404091
2010-01-14,12:00:00,118.33745188062329
2010-01-14,13:00:00,122.74818908025475
2010-01-14,14:00:00,143.58108913429368
2010-01-14,15:00:00,164.60356731325703
2010-01-14,16:00:00,165.95974188354603
2010-01-14,17:00:00,159.124805747273
2010-01-14,18:00:00,153.80042360562618
2010-01-14,19:00:00,153.2308576649167
2010-01-14,20:00:00,152.8826584222968
2010-01-14,21:00:00,154.57852860652562
2010-01-14,22:00:00,166.6485889764719
2010-01-14,23:00:00,168.5029758293997
2010-01-15,00:00:00,166.0619455081752
2010-01-15,01:00:00,164.39645154744153
2010-01-15,02:00:00,164.95713844325468
2010-01-15,03:00:00,163.4263813591314
2010-01-15,04:00:00,163.80608187711996
2010-01-15,05:00:00,167.30852288301824
2010-01-15,06:00:00,171.890576143707
2010-01-15,07:00:00,178.6862913737807
2010-01-15,08:00:00,185.3212762768777
2010-01-15,09:00:00,189.63824876652748
2010-01-15,10:00:00,207.70672118511803
2010-01-15,11:00:00,211.24043547185943
2010-01-15,12:00:00,220.1402832877724
2010-01-15,13:00:00,226.7647898580309
2010-01-15,14:00:00,231.18771210100954
2010-01-15,15:00:00,234.87744363417852
2010-01-15,16:00:00,242.97090699612423
2010-01-15,17:00:00,253.18094884675406
2010-01-15,18:00:00,264.2436530769862
2010-01-15,19:00:00,273.50535970203526
2010-01-15,20:00:00,275.13502016132276
2010-01-15,21:00:00,274.86157816495705
2010-01-15,22:00:00,450.90994472719234
2010-01-15,23:00:00,415.0654911886253
2010-01-16,00:00:00,379.90155865002976
2010-01-16,01:00:00,333.48747734162055
2010-01-16,02:00:00,309.858761581591
2010-01-16,03:00:00,306.3199588387003
2010-01-16,04:00:00,299.9187436619492
2010-01-16,05:00:00,297.0787071068377
2010-01-16,06:00:00,300.8640443964931
2010-01-16,07:00:00,300.9218091053781
2010-01-16,08:00:00,295.25609793917084
2010-01-16,09:00:00,282.07935137240923
2010-01-16,10:00:00,292.07655795761934
2010-01-16,11:00:00,289.71025845722056
2010-01-16,12:00:00,310.31171491095375
2010-01-16,13:00:00,361.45212326922535
2010-01-16,14:00:00,365.0543398158703
2010-01-16,15:00:00,297.3301192327797
2010-01-16,16:00:00,267.269449515582
