date,time,boundaryLayerHeight
2017-01-01,00:00:00,222.52505424053354
2017-01-01,01:00:00,188.56434821508887
2017-01-01,02:00:00,198.6038757558442
2017-01-01,03:00:00,186.17480710636298
2017-01-01,04:00:00,250.90579056929363
2017-01-01,05:00:00,364.38032739524306
2017-01-01,06:00:00,375.7118000903188
2017-01-01,07:00:00,278.35322758573795
2017-01-01,08:00:00,223.29670860186113
2017-01-01,09:00:00,213.75245301073852
2017-01-01,10:00:00,242.95231553712546
2017-01-01,11:00:00,273.3041212855922
2017-01-01,12:00:00,301.01964142545245
2017-01-01,13:00:00,315.9972066773475
2017-01-01,14:00:00,426.3349584182463
2017-01-01,15:00:00,704.741394833532
2017-01-01,16:00:00,866.2271220872876
2017-01-01,17:00:00,952.9765073702373
2017-01-01,18:00:00,959.6848974676246
2017-01-01,19:00:00,926.0486074181497
2017-01-01,20:00:00,865.7273449372685
2017-01-01,21:00:00,793.2688836645889
2017-01-01,22:00:00,845.8025152603416
2017-01-01,23:00:00,847.1040877972375
2017-01-02,00:00:00,785.2467522368078
2017-01-02,01:00:00,584.5879747085758
2017-01-02,02:00:00,478.5151234682946
2017-01-02,03:00:00,430.63905060026264
2017-01-02,04:00:00,387.19596083896414
2017-01-02,05:00:00,344.59031935818325
2017-01-02,06:00:00,304.5488559838724
2017-01-02,07:00:00,272.99008697250673
2017-01-02,08:00:00,252.12943029382362
2017-01-02,09:00:00,236.25649943172658
2017-01-02,10:00:00,305.3446606780813
2017-01-02,11:00:00,299.6393263469944
2017-01-02,12:00:00,301.2428192635731
2017-01-02,13:00:00,290.1833775933574
2017-01-02,14:00:00,252.10018801565218
2017-01-02,15:00:00,208.68263479266474
2017-01-02,16:00:00,183.6960803003972
2017-01-02,17:00:00,164.28419011158007
2017-01-02,18:00:00,138.34589034325194
2017-01-02,19:00:00,117.92361481970148
2017-01-02,20:00:00,111.90283195716452
2017-01-02,21:00:00,115.72935610010427
2017-01-02,22:00:00,115.83291698814652
2017-01-02,23:00:00,116.5855191495423
2017-01-03,00:00:00,111.54293548366579
2017-01-03,01:00:00,101.0451959227355
2017-01-03,02:00:00,93.69537993321558
2017-01-03,03:00:00,94.0981338815753
2017-01-03,04:00:00,104.03480578313214
2017-01-03,05:00:00,99.37014076762686
2017-01-03,06:00:00,81.28473215683627
2017-01-03,07:00:00,83.56895692445116
2017-01-03,08:00:00,103.4380264159743
2017-01-03,09:00:00,139.91800205295135
2017-01-03,10:00:00,234.08256164696658
2017-01-03,11:00:00,206.47695991772812
2017-01-03,12:00:00,139.1078363822603
2017-01-03,13:00:00,189.5066993462666
2017-01-03,14:00:00,375.9293256920294
2017-01-03,15:00:00,655.2159708842138
2017-01-03,16:00:00,1089.5368097737464
2017-01-03,17:00:00,985.4736709978379
2017-01-03,18:00:00,813.3185691509631
2017-01-03,19:00:00,693.1283491165436
2017-01-03,20:00:00,571.5313234696602
2017-01-03,21:00:00,475.1460762716899
2017-01-03,22:00:00,449.0806901064932
2017-01-03,23:00:00,424.4633991883235
2017-01-04,00:00:00,532.1685484624228
2017-01-04,01:00:00,579.3714443372719
2017-01-04,02:00:00,617.7168995564679
2017-01-04,03:00:00,761.5630287070413
2017-01-04,04:00:00,873.4003610064426
2017-01-04,05:00:00,902.2607810401562
2017-01-04,06:00:00,873.9647787037538
2017-01-04,07:00:00,828.3660512708018
2017-01-04,08:00:00,1029.5396351091088
2017-01-04,09:00:00,1361.2966338718038
2017-01-04,10:00:00,1414.3757669516388
2017-01-04,11:00:00,1404.453983674389
2017-01-04,12:00:00,1405.7572609910437
2017-01-04,13:00:00,1376.8053554358837
2017-01-04,14:00:00,1305.053721483794
2017-01-04,15:00:00,1099.4189692872344
2017-01-04,16:00:00,987.3506920002055
2017-01-04,17:00:00,956.4091553351136
2017-01-04,18:00:00,951.342105694625
2017-01-04,19:00:00,949.0005359578247
2017-01-04,20:00:00,973.30091536889
2017-01-04,21:00:00,999.8770525121437
2017-01-04,22:00:00,1023.0073881566176
2017-01-04,23:00:00,1105.5173885112526
2017-01-05,00:00:00,1159.041883197882
2017-01-05,01:00:00,1190.4509343548625
2017-01-05,02:00:00,1176.3816731419436
2017-01-05,03:00:00,1148.7153171443645
2017-01-05,04:00:00,1079.09828845398
2017-01-05,05:00:00,986.8834285583093
2017-01-05,06:00:00,942.4490203793771
2017-01-05,07:00:00,899.4176343181009
2017-01-05,08:00:00,599.4514641546298
2017-01-05,09:00:00,458.0570179985649
2017-01-05,10:00:00,369.73766904359485
2017-01-05,11:00:00,357.305193850901
2017-01-05,12:00:00,342.47092186883253
2017-01-05,13:00:00,329.2225788772313
2017-01-05,14:00:00,325.9517028239312
2017-01-05,15:00:00,315.28769293073816
2017-01-05,16:00:00,305.4895093591658
2017-01-05,17:00:00,302.0390608166847
2017-01-05,18:00:00,312.63251459516437
2017-01-05,19:00:00,328.3876364700123
2017-01-05,20:00:00,378.1835253889549
2017-01-05,21:00:00,430.6654527967607
2017-01-05,22:00:00,480.8519920828029
2017-01-05,23:00:00,492.29200864740926
2017-01-06,00:00:00,495.7767799210947
2017-01-06,01:00:00,540.8922598362524
