date,time,boundaryLayerHeight
2017-01-01,00:00:00,219.72913398284055
2017-01-01,01:00:00,186.21535555354862
2017-01-01,02:00:00,197.40509989079962
2017-01-01,03:00:00,191.4107196736026
2017-01-01,04:00:00,247.541388374261
2017-01-01,05:00:00,349.82184677228827
2017-01-01,06:00:00,355.04781016960726
2017-01-01,07:00:00,266.8443573039647
2017-01-01,08:00:00,223.8993150532296
2017-01-01,09:00:00,215.2493603739059
2017-01-01,10:00:00,233.12915791497346
2017-01-01,11:00:00,268.23628670534845
2017-01-01,12:00:00,288.2547285813294
2017-01-01,13:00:00,286.4816130641116
2017-01-01,14:00:00,383.1712134819319
2017-01-01,15:00:00,625.8563495486363
2017-01-01,16:00:00,787.9638944715572
2017-01-01,17:00:00,850.8679969980221
2017-01-01,18:00:00,871.4929514642644
2017-01-01,19:00:00,872.9060376535738
2017-01-01,20:00:00,832.8910456440249
2017-01-01,21:00:00,785.4248306587456
2017-01-01,22:00:00,829.405678674519
2017-01-01,23:00:00,864.811019702578
2017-01-02,00:00:00,871.545671837755
2017-01-02,01:00:00,687.4961456590303
2017-01-02,02:00:00,527.8688538531983
2017-01-02,03:00:00,473.77271508232127
2017-01-02,04:00:00,442.5217504321152
2017-01-02,05:00:00,403.108278125678
2017-01-02,06:00:00,366.0608964246739
2017-01-02,07:00:00,320.1893699933797
2017-01-02,08:00:00,294.7841150256893
2017-01-02,09:00:00,269.66132555269184
2017-01-02,10:00:00,324.5052201864473
2017-01-02,11:00:00,319.94883469535733
2017-01-02,12:00:00,324.1387079169675
2017-01-02,13:00:00,313.928600166466
2017-01-02,14:00:00,278.37959774943306
2017-01-02,15:00:00,234.60274831082447
2017-01-02,16:00:00,212.43705800185862
2017-01-02,17:00:00,191.57571866272497
2017-01-02,18:00:00,162.40130560792346
2017-01-02,19:00:00,138.1787923297896
2017-01-02,20:00:00,125.21819399882307
2017-01-02,21:00:00,125.4648888637036
2017-01-02,22:00:00,120.4445077322794
2017-01-02,23:00:00,129.7562486484258
2017-01-03,00:00:00,134.94953320018723
2017-01-03,01:00:00,120.68661796129676
2017-01-03,02:00:00,108.65150625635994
2017-01-03,03:00:00,102.98923172278117
2017-01-03,04:00:00,106.37249288468212
2017-01-03,05:00:00,112.6786241160839
2017-01-03,06:00:00,96.13326525901564
2017-01-03,07:00:00,93.55256433616086
2017-01-03,08:00:00,113.43796057786008
2017-01-03,09:00:00,156.4949595001531
2017-01-03,10:00:00,314.8682052195843
2017-01-03,11:00:00,380.56640007473214
2017-01-03,12:00:00,326.9822710341532
2017-01-03,13:00:00,299.58281523345613
2017-01-03,14:00:00,364.13697767000406
2017-01-03,15:00:00,427.0591644288499
