date,time,pm25,temperature,windSpeed,rain,weekday
2017-10-30,12:00:00,,3.8,0.8,0.0,4
2017-10-30,13:00:00,2.43112322,3.4,0.7,0.3,4
2017-10-30,14:00:00,4.20845,3.3,0.3,0.0,4
2017-10-30,15:00:00,6.11929444,3.2,0.7,0.0,4
2017-10-30,16:00:00,8.19628055,2.7,1.3,0.2,4
2017-10-30,17:00:00,8.66068332,2.6,1.2,0.1,4
2017-10-30,18:00:00,8.29231944,2.6,1.2,0.1,4
2017-10-30,19:00:00,11.89791666,2.2,1.9,0.4,4
2017-10-30,20:00:00,4.95599165,2.5,2.1,0.0,4
2017-10-30,21:00:00,5.59689999,2.9,2.9,0.3,4
2017-10-30,22:00:00,3.49747777,3.6,4.3,0.0,4
2017-10-30,23:00:00,1.946175,3.8,3.8,0.2,4
2017-10-31,00:00:00,1.33764722,4.0,4.9,0.5,4
2017-10-31,01:00:00,1.41343332,4.2,3.1,0.2,4
2017-10-31,02:00:00,1.51938054,4.5,4.5,0.1,4
2017-10-31,03:00:00,1.28153611,4.5,4.4,0.0,4
2017-10-31,04:00:00,0.91177222,4.4,4.3,0.1,4
2017-10-31,05:00:00,0.65050833,4.8,4.7,0.0,4
2017-10-31,06:00:00,0.93043611,4.9,3.7,0.3,4
2017-10-31,07:00:00,1.65326666,5.4,4.1,0.0,4
2017-10-31,08:00:00,2.59060444,5.5,2.6,0.1,4
2017-10-31,09:00:00,2.25438888,5.8,3.4,0.2,4
2017-10-31,10:00:00,1.88228055,5.9,2.8,0.0,4
2017-10-31,11:00:00,1.90393887,6.2,4.2,0.1,4
2017-10-31,12:00:00,1.59774722,6.3,4.9,0.0,4
2017-10-31,13:00:00,1.60378333,6.3,3.5,0.0,4
2017-10-31,14:00:00,1.64836666,6.7,4.1,0.0,4
2017-10-31,15:00:00,2.41168611,6.9,4.9,0.0,4
2017-10-31,16:00:00,3.37064721,7.4,5.6,0.0,4
2017-10-31,17:00:00,3.23224722,7.2,4.7,0.0,4
2017-10-31,18:00:00,2.94758611,7.4,4.0,0.0,4
2017-10-31,19:00:00,2.94198332,7.2,4.8,0.2,4
2017-10-31,20:00:00,2.41316943,7.4,4.9,0.7,4
2017-10-31,21:00:00,1.14808888,7.6,4.8,0.8,4
2017-10-31,22:00:00,0.86320833,7.7,3.6,0.7,4
2017-10-31,23:00:00,0.42023611,7.9,2.1,0.3,4
2017-11-01,00:00:00,0.23187222,8.0,2.7,0.0,4
2017-11-01,01:00:00,0.19700833,8.2,2.8,0.1,4
2017-11-01,02:00:00,0.19035277,8.2,3.1,0.1,4
2017-11-01,03:00:00,0.1171,8.4,2.3,0.3,4
2017-11-01,04:00:00,0.11405833,8.3,3.7,0.2,4
2017-11-01,05:00:00,0.18510833,8.5,3.9,1.6,4
2017-11-01,06:00:00,0.48121666,8.9,2.8,1.4,4
2017-11-01,07:00:00,1.55404166,9.8,1.6,5.2,4
2017-11-01,08:00:00,4.07044722,10.1,5.0,3.6,4
2017-11-01,09:00:00,3.30996111,9.8,4.2,0.9,4
2017-11-01,10:00:00,3.75277776,9.9,5.2,0.6,4
