date,time,pm25,temperature,windSpeed,rain,weekday
2018-01-09,14:00:00,,-0.4,1.1,,4
2018-01-09,15:00:00,,-0.6,1.8,,4
2018-01-09,16:00:00,,-0.8,2.3,,4
2018-01-09,17:00:00,,-1.1,1.7,,4
2018-01-09,18:00:00,,-1.7,1.5,,4
2018-01-09,19:00:00,,-2.2,1.5,,4
2018-01-09,20:00:00,,-2.7,0.2,,4
2018-01-09,21:00:00,,-3.3,0.3,,4
2018-01-09,22:00:00,,-4.0,0.1,,4
2018-01-09,23:00:00,,-4.5,1.3,,4
2018-01-10,00:00:00,,-5.3,,,4
2018-01-10,01:00:00,,-5.5,,,4
2018-01-10,02:00:00,,-5.3,,,4
2018-01-10,03:00:00,,-5.2,,,4
2018-01-10,04:00:00,,-3.6,0.2,,4
2018-01-10,05:00:00,,-3.1,0.6,,4
2018-01-10,06:00:00,,-2.8,1.2,,4
2018-01-10,07:00:00,,-2.6,0.2,,4
2018-01-10,08:00:00,,-2.0,1.6,,4
2018-01-10,09:00:00,,-2.0,0.3,,4
2018-01-10,10:00:00,,-0.6,1.4,,4
2018-01-10,11:00:00,3.76683054,-0.6,2.3,,4
2018-01-10,12:00:00,5.64100575,-0.1,1.7,,4
2018-01-10,13:00:00,6.20066944,0.1,2.0,,4
2018-01-10,14:00:00,8.01666666,0.5,2.1,,4
2018-01-10,15:00:00,8.23180832,0.5,1.4,,4
2018-01-10,16:00:00,10.07927222,-0.4,0.9,,4
2018-01-10,17:00:00,10.72843333,-1.0,0.4,,4
2018-01-10,18:00:00,9.96587777,-0.4,0.4,,4
2018-01-10,19:00:00,8.14980554,-0.2,0.1,,4
2018-01-10,20:00:00,7.94861665,0.1,0.3,,4
2018-01-10,21:00:00,7.86250554,0.0,,,4
2018-01-10,22:00:00,6.61669721,0.1,0.1,,4
2018-01-10,23:00:00,5.95934721,0.1,0.1,,4
2018-01-11,00:00:00,3.62901388,0.0,,,4
2018-01-11,01:00:00,2.59402776,-0.1,,,4
2018-01-11,02:00:00,2.10983887,-0.3,0.1,,4
2018-01-11,03:00:00,2.05903611,-0.7,0.2,,4
2018-01-11,04:00:00,2.0947,-1.0,0.1,,4
2018-01-11,05:00:00,2.27752499,-1.2,0.1,,4
2018-01-11,06:00:00,3.31293887,-1.4,0.1,,4
2018-01-11,07:00:00,4.08368333,-1.5,0.1,,4
2018-01-11,08:00:00,4.51398611,-1.6,,,4
2018-01-11,09:00:00,4.53160833,-1.7,0.1,,4
