date,time,pm25,temperature,windSpeed,rain,weekday
2016-12-31,23:00:00,21.39999999,,,,3
2017-01-01,00:00:00,5.29999999,4.6,6.6,,2
2017-01-01,01:00:00,6.7,4.5,5.7,,2
2017-01-01,02:00:00,5.29999999,3.2,2.2,,2
2017-01-01,03:00:00,6.09999999,2.6,1.4,,2
2017-01-01,04:00:00,4.4,1.8,1.4,,2
2017-01-01,05:00:00,4.09999999,3.1,3.7,,2
2017-01-01,06:00:00,5.09999999,2.0,1.3,,2
2017-01-01,07:00:00,4.5,2.3,3.0,,2
2017-01-01,08:00:00,7.5,1.3,0.8,,2
2017-01-01,09:00:00,6.9,2.4,2.6,,2
2017-01-01,10:00:00,9.09999999,3.1,2.6,,2
2017-01-01,11:00:00,5.5,3.9,3.2,,2
2017-01-01,12:00:00,4.4,3.9,7.7,,2
2017-01-01,13:00:00,4.7,3.4,6.4,,2
2017-01-01,14:00:00,5.79999999,3.2,7.9,,2
2017-01-01,15:00:00,5.2,3.1,6.5,,2
2017-01-01,16:00:00,5.7,2.9,11.1,,2
2017-01-01,17:00:00,4.7,2.6,10.7,,2
2017-01-01,18:00:00,6.09999999,2.2,8.3,,2
2017-01-01,19:00:00,5.5,2.1,7.9,,2
2017-01-01,20:00:00,5.7,1.6,8.0,,2
2017-01-01,21:00:00,4.4,1.7,7.7,,2
2017-01-01,22:00:00,4.79999999,1.5,7.7,,2
2017-01-01,23:00:00,3.29999999,1.5,6.8,,2
2017-01-02,00:00:00,4.5,1.3,5.5,,4
2017-01-02,01:00:00,4.7,1.0,4.0,,4
2017-01-02,02:00:00,4.4,1.0,3.4,,4
2017-01-02,03:00:00,3.2,0.8,3.4,,4
2017-01-02,04:00:00,3.7,1.6,4.8,,4
2017-01-02,05:00:00,4.7,1.5,5.6,,4
2017-01-02,06:00:00,6.2,1.7,4.6,,4
2017-01-02,07:00:00,6.4,1.3,2.2,,4
2017-01-02,08:00:00,4.29999999,1.4,3.3,,4
2017-01-02,09:00:00,4.29999999,1.7,3.8,,4
2017-01-02,10:00:00,4.59999999,2.5,6.7,,4
2017-01-02,11:00:00,3.1,1.7,5.5,,4
2017-01-02,12:00:00,4.7,1.7,4.2,,4
2017-01-02,13:00:00,5.7,1.4,3.5,,4
2017-01-02,14:00:00,4.7,1.0,2.3,,4
2017-01-02,15:00:00,10.19999999,0.3,0.0,,4
2017-01-02,16:00:00,22.6,0.3,0.6,,4
2017-01-02,17:00:00,28.3,0.0,1.2,,4
2017-01-02,18:00:00,23.0,-0.2,1.6,,4
2017-01-02,19:00:00,20.1,-0.4,1.9,,4
2017-01-02,20:00:00,14.69999999,-0.2,2.0,,4
2017-01-02,21:00:00,13.4,0.0,2.9,,4
2017-01-02,22:00:00,12.69999999,0.3,1.4,,4
2017-01-02,23:00:00,9.09999999,2.7,2.2,,4
2017-01-03,00:00:00,1.1,2.7,3.1,,4
2017-01-03,01:00:00,1.7,2.8,2.8,,4
2017-01-03,02:00:00,1.6,3.3,4.3,,4
2017-01-03,03:00:00,0.1,3.5,1.6,,4
2017-01-03,04:00:00,1.3,2.9,1.8,,4
2017-01-03,05:00:00,2.1,2.4,3.3,,4
2017-01-03,06:00:00,2.1,3.1,3.7,,4
2017-01-03,07:00:00,7.29999999,7.0,7.6,,4
2017-01-03,08:00:00,6.0,7.0,9.0,,4
2017-01-03,09:00:00,5.59999999,7.0,7.6,,4
2017-01-03,10:00:00,4.7,7.0,8.2,,4
2017-01-03,11:00:00,5.29999999,6.8,10.0,,4
2017-01-03,12:00:00,7.79999999,7.1,11.9,,4
2017-01-03,13:00:00,7.29999999,6.6,13.4,,4
2017-01-03,14:00:00,7.9,5.9,16.8,,4
2017-01-03,15:00:00,14.5,4.7,13.6,,4
2017-01-03,16:00:00,8.09999999,2.9,18.1,,4
2017-01-03,17:00:00,9.8,4.4,14.5,,4
2017-01-03,18:00:00,6.7,1.4,20.5,,4
2017-01-03,19:00:00,10.3,3.9,14.5,,4
2017-01-03,20:00:00,8.8,3.9,17.6,,4
2017-01-03,21:00:00,6.9,3.8,18.1,,4
2017-01-03,22:00:00,8.8,2.8,12.5,,4
2017-01-03,23:00:00,8.59999999,4.8,18.0,,4
2017-01-04,00:00:00,6.5,3.0,16.4,,4
2017-01-04,01:00:00,10.0,4.2,13.7,,4
2017-01-04,02:00:00,13.19999999,4.7,18.2,,4
2017-01-04,03:00:00,8.8,3.8,17.1,,4
2017-01-04,04:00:00,6.0,4.5,13.8,,4
2017-01-04,05:00:00,7.5,3.3,9.6,,4
2017-01-04,06:00:00,7.9,3.6,8.7,,4
2017-01-04,07:00:00,8.0,3.5,9.4,,4
2017-01-04,08:00:00,6.29999999,3.2,6.6,,4
2017-01-04,09:00:00,6.2,3.2,7.8,,4
2017-01-04,10:00:00,4.0,3.1,9.5,,4
2017-01-04,11:00:00,3.7,2.7,9.5,,4
2017-01-04,12:00:00,5.7,2.5,8.2,,4
2017-01-04,13:00:00,6.29999999,2.3,7.4,,4
2017-01-04,14:00:00,7.5,2.1,6.1,,4
2017-01-04,15:00:00,9.5,1.8,6.2,,4
2017-01-04,16:00:00,11.9,0.7,3.4,,4
2017-01-04,17:00:00,8.09999999,1.6,5.1,,4
2017-01-04,18:00:00,13.4,1.1,4.1,,4
2017-01-04,19:00:00,9.69999999,0.7,4.1,,4
2017-01-04,20:00:00,7.29999999,0.7,3.3,,4
2017-01-04,21:00:00,7.29999999,0.2,3.9,,4
2017-01-04,22:00:00,7.29999999,0.3,2.3,,4
2017-01-04,23:00:00,5.59999999,-0.4,3.0,,4
2017-01-05,00:00:00,5.2,-1.6,1.5,,4
2017-01-05,01:00:00,3.2,-1.4,2.1,,4
2017-01-05,02:00:00,3.6,-1.7,2.3,,4
2017-01-05,03:00:00,3.89999999,-2.4,2.6,,4
2017-01-05,04:00:00,3.5,-3.1,2.7,,4
2017-01-05,05:00:00,3.5,-3.6,3.3,,4
2017-01-05,06:00:00,7.5,-4.2,2.6,,4
2017-01-05,07:00:00,10.19999999,-5.7,1.1,,4
2017-01-05,08:00:00,11.9,-6.5,1.6,,4
2017-01-05,09:00:00,13.0,-5.8,1.9,,4
2017-01-05,10:00:00,8.3,-5.4,0.9,,4
2017-01-05,11:00:00,8.19999999,-3.9,1.8,,4
2017-01-05,12:00:00,7.79999999,-3.2,1.9,,4
2017-01-05,13:00:00,7.59999999,-3.0,2.3,,4
2017-01-05,14:00:00,10.8,-4.1,2.0,,4
2017-01-05,15:00:00,10.6,-4.1,2.2,,4
2017-01-05,16:00:00,11.8,-4.4,2.3,,4
2017-01-05,17:00:00,13.9,-4.6,2.6,,4
2017-01-05,18:00:00,7.59999999,-4.3,4.7,,4
2017-01-05,19:00:00,13.1,-4.1,4.2,,4
2017-01-05,20:00:00,11.4,-3.7,5.7,,4
2017-01-05,21:00:00,7.59999999,-3.2,5.5,,4
2017-01-05,22:00:00,8.59999999,-2.6,6.5,,4
2017-01-05,23:00:00,4.29999999,-2.0,7.5,,4
2017-01-06,00:00:00,6.9,-1.4,8.8,,4
2017-01-06,01:00:00,4.5,-1.0,7.6,,4
2017-01-06,02:00:00,4.7,-0.7,6.3,,4
2017-01-06,03:00:00,3.6,0.1,6.4,,4
2017-01-06,04:00:00,4.0,1.1,6.5,,4
2017-01-06,05:00:00,4.7,1.0,9.0,,4
2017-01-06,06:00:00,6.5,0.8,8.0,,4
2017-01-06,07:00:00,4.79999999,0.8,9.0,,4
2017-01-06,08:00:00,4.59999999,1.2,8.9,,4
2017-01-06,09:00:00,4.79999999,1.4,9.4,,4
2017-01-06,10:00:00,3.89999999,1.3,8.1,,4
2017-01-06,11:00:00,4.09999999,2.3,9.1,,4
2017-01-06,12:00:00,4.79999999,2.6,8.5,,4
2017-01-06,13:00:00,7.5,3.6,6.6,,4
2017-01-06,14:00:00,6.9,3.9,6.8,,4
2017-01-06,15:00:00,6.7,4.2,7.5,,4
2017-01-06,16:00:00,5.2,4.3,7.7,,4
2017-01-06,17:00:00,5.9,4.5,6.3,,4
2017-01-06,18:00:00,5.9,4.7,6.6,,4
2017-01-06,19:00:00,6.4,5.0,6.3,,4
2017-01-06,20:00:00,8.3,5.3,4.5,,4
2017-01-06,21:00:00,8.8,5.5,3.0,,4
2017-01-06,22:00:00,5.9,6.8,3.9,,4
2017-01-06,23:00:00,3.5,7.1,5.6,,4
2017-01-07,00:00:00,5.29999999,6.2,4.6,,3
2017-01-07,01:00:00,4.7,6.7,4.7,,3
2017-01-07,02:00:00,7.5,6.5,6.5,,3
2017-01-07,03:00:00,4.4,6.4,5.9,,3
2017-01-07,04:00:00,4.29999999,5.7,4.6,,3
2017-01-07,05:00:00,5.59999999,5.2,4.9,,3
2017-01-07,06:00:00,6.7,4.9,5.0,,3
2017-01-07,07:00:00,9.09999999,4.6,4.1,,3
2017-01-07,08:00:00,8.09999999,4.7,4.5,,3
2017-01-07,09:00:00,9.9,3.5,2.4,,3
2017-01-07,10:00:00,8.3,3.7,2.2,,3
2017-01-07,11:00:00,8.69999999,3.8,2.8,,3
2017-01-07,12:00:00,7.2,4.6,4.5,,3
2017-01-07,13:00:00,8.8,4.7,3.9,,3
2017-01-07,14:00:00,8.59999999,3.5,2.6,,3
2017-01-07,15:00:00,13.8,3.3,3.4,,3
2017-01-07,16:00:00,18.69999999,2.1,2.0,,3
2017-01-07,17:00:00,23.8,1.3,2.3,,3
2017-01-07,18:00:00,25.0,0.0,0.7,,3
2017-01-07,19:00:00,26.19999999,-0.7,0.0,,3
2017-01-07,20:00:00,35.7,-0.5,1.3,,3
2017-01-07,21:00:00,33.39999999,-1.4,0.4,,3
2017-01-07,22:00:00,23.69999999,-2.1,0.8,,3
2017-01-07,23:00:00,19.8,-1.5,2.4,,3
2017-01-08,00:00:00,22.0,-1.4,3.1,,2
2017-01-08,01:00:00,21.19999999,-1.3,1.4,,2
2017-01-08,02:00:00,14.19999999,-1.7,2.0,,2
2017-01-08,03:00:00,6.5,-0.3,3.3,,2
2017-01-08,04:00:00,4.2,0.7,3.9,,2
2017-01-08,05:00:00,3.89999999,0.8,3.1,,2
2017-01-08,06:00:00,6.79999999,1.1,3.3,,2
2017-01-08,07:00:00,10.4,1.7,4.4,,2
2017-01-08,08:00:00,10.3,2.2,3.4,,2
2017-01-08,09:00:00,7.5,3.2,3.8,,2
2017-01-08,10:00:00,7.2,3.2,3.4,,2
2017-01-08,11:00:00,8.4,4.1,3.0,,2
2017-01-08,12:00:00,7.29999999,4.9,4.5,,2
2017-01-08,13:00:00,9.3,5.1,3.3,,2
2017-01-08,14:00:00,8.59999999,5.3,3.3,,2
2017-01-08,15:00:00,10.3,6.7,2.0,,2
2017-01-08,16:00:00,6.9,6.8,3.4,,2
2017-01-08,17:00:00,6.2,6.6,2.2,,2
2017-01-08,18:00:00,5.2,6.5,1.5,,2
2017-01-08,19:00:00,3.2,6.2,2.8,,2
2017-01-08,20:00:00,2.89999999,6.1,1.9,,2
2017-01-08,21:00:00,3.5,5.9,1.8,,2
2017-01-08,22:00:00,1.6,5.5,2.4,,2
2017-01-08,23:00:00,2.29999999,5.3,2.3,,2
2017-01-09,00:00:00,1.39999999,5.1,2.3,,4
2017-01-09,01:00:00,1.5,5.4,3.3,,4
2017-01-09,02:00:00,2.29999999,5.7,3.6,,4
2017-01-09,03:00:00,0.8,5.7,4.9,,4
2017-01-09,04:00:00,1.5,5.7,5.8,,4
2017-01-09,05:00:00,1.7,5.9,5.5,,4
2017-01-09,06:00:00,2.0,6.2,7.2,,4
2017-01-09,07:00:00,1.5,6.2,6.4,,4
2017-01-09,08:00:00,0.8,6.1,7.8,,4
2017-01-09,09:00:00,0.8,6.1,8.4,,4
2017-01-09,10:00:00,1.1,5.9,7.8,,4
2017-01-09,11:00:00,2.0,6.4,7.4,,4
2017-01-09,12:00:00,6.2,6.5,8.2,,4
2017-01-09,13:00:00,6.0,6.5,9.3,,4
2017-01-09,14:00:00,3.89999999,6.7,8.6,,4
2017-01-09,15:00:00,5.2,6.7,9.3,,4
2017-01-09,16:00:00,4.0,6.6,8.7,,4
2017-01-09,17:00:00,3.89999999,6.7,8.7,,4
2017-01-09,18:00:00,3.29999999,6.8,7.6,,4
2017-01-09,19:00:00,3.89999999,6.9,6.9,,4
2017-01-09,20:00:00,3.7,6.7,6.4,,4
2017-01-09,21:00:00,5.9,6.3,4.2,,4
2017-01-09,22:00:00,6.2,6.0,4.1,,4
2017-01-09,23:00:00,5.59999999,5.6,3.9,,4
2017-01-10,00:00:00,4.79999999,5.1,3.8,,4
2017-01-10,01:00:00,5.2,4.1,3.4,,4
2017-01-10,02:00:00,4.29999999,3.7,4.0,,4
2017-01-10,03:00:00,4.9,3.5,3.3,,4
2017-01-10,04:00:00,4.9,3.4,3.5,,4
2017-01-10,05:00:00,5.09999999,3.5,4.2,,4
2017-01-10,06:00:00,5.2,3.2,4.1,,4
2017-01-10,07:00:00,5.29999999,2.9,4.2,,4
2017-01-10,08:00:00,5.59999999,3.3,5.1,,4
2017-01-10,09:00:00,5.5,3.6,4.8,,4
2017-01-10,10:00:00,6.2,4.4,5.8,,4
2017-01-10,11:00:00,5.79999999,5.2,6.7,,4
2017-01-10,12:00:00,6.2,5.2,7.5,,4
2017-01-10,13:00:00,4.9,5.1,7.2,,4
2017-01-10,14:00:00,5.09999999,5.1,8.6,,4
2017-01-10,15:00:00,6.29999999,5.4,7.4,,4
2017-01-10,16:00:00,7.09999999,5.4,7.7,,4
2017-01-10,17:00:00,7.59999999,5.8,5.7,,4
2017-01-10,18:00:00,6.7,6.3,5.5,,4
2017-01-10,19:00:00,7.59999999,6.5,5.6,,4
2017-01-10,20:00:00,5.2,6.3,5.6,,4
2017-01-10,21:00:00,5.5,6.3,5.9,,4
2017-01-10,22:00:00,4.5,6.0,5.9,,4
2017-01-10,23:00:00,3.5,6.1,6.0,,4
2017-01-11,00:00:00,4.09999999,6.3,7.1,,4
2017-01-11,01:00:00,1.0,6.1,8.6,,4
2017-01-11,02:00:00,-1.89999999,5.7,7.7,,4
2017-01-11,03:00:00,-0.9,4.8,5.7,,4
2017-01-11,04:00:00,-0.2,5.9,12.1,,4
2017-01-11,05:00:00,-1.0,5.3,11.7,,4
2017-01-11,06:00:00,4.29999999,6.1,8.6,,4
2017-01-11,07:00:00,-1.2,6.4,12.3,,4
2017-01-11,08:00:00,11.1,6.6,10.5,,4
2017-01-11,09:00:00,10.1,5.2,20.7,,4
2017-01-11,10:00:00,11.0,5.8,16.4,,4
2017-01-11,11:00:00,7.9,5.5,16.0,,4
2017-01-11,12:00:00,9.59999999,5.9,13.0,,4
2017-01-11,13:00:00,8.8,5.3,17.5,,4
2017-01-11,14:00:00,7.0,5.4,15.0,,4
2017-01-11,15:00:00,7.59999999,3.3,14.7,,4
2017-01-11,16:00:00,7.5,5.0,14.3,,4
2017-01-11,17:00:00,13.6,4.1,8.9,,4
2017-01-11,18:00:00,6.9,4.9,11.8,,4
2017-01-11,19:00:00,6.29999999,2.9,10.2,,4
2017-01-11,20:00:00,9.5,4.9,14.9,,4
2017-01-11,21:00:00,8.19999999,4.0,15.3,,4
2017-01-11,22:00:00,9.5,3.3,12.2,,4
2017-01-11,23:00:00,8.09999999,3.2,11.6,,4
2017-01-12,00:00:00,8.8,4.7,10.0,,4
