date,time,pm25,temperature,windSpeed,rain,weekday
2010-01-01,00:00:00,31.45,0.2,1.2,0.1,2
2010-01-01,01:00:00,31.45,-0.3,1.2,0.0,2
2010-01-01,02:00:00,31.45,-0.5,0.9,0.0,2
2010-01-01,03:00:00,31.45,-0.7,1.0,0.1,2
2010-01-01,04:00:00,31.45,-1.4,1.0,0.5,2
2010-01-01,05:00:00,31.45,-1.6,0.7,0.6,2
2010-01-01,06:00:00,31.45,-1.7,0.7,0.2,2
2010-01-01,07:00:00,31.45,-1.8,0.6,0.4,2
2010-01-01,08:00:00,31.45,-2.3,1.0,0.2,2
2010-01-01,09:00:00,31.45,-2.3,0.7,0.2,2
2010-01-01,10:00:00,31.45,-2.0,0.7,0.0,2
2010-01-01,11:00:00,31.45,-2.1,0.7,0.1,2
2010-01-01,12:00:00,31.45,-2.1,0.7,0.0,2
2010-01-01,13:00:00,31.45,-2.5,0.8,0.0,2
2010-01-01,14:00:00,31.45,-2.6,0.9,0.0,2
2010-01-01,15:00:00,31.45,-2.8,0.6,0.0,2
2010-01-01,16:00:00,31.45,-2.8,0.8,0.0,2
2010-01-01,17:00:00,31.45,-3.0,0.8,0.0,2
2010-01-01,18:00:00,31.45,-2.9,0.7,0.1,2
2010-01-01,19:00:00,31.45,-2.8,0.6,0.0,2
2010-01-01,20:00:00,31.45,-2.9,0.6,0.0,2
2010-01-01,21:00:00,31.45,-2.7,0.6,0.0,2
2010-01-01,22:00:00,31.45,-2.8,0.7,0.0,2
2010-01-01,23:00:00,,-2.8,0.7,0.4,2
2010-01-02,00:00:00,,-2.8,0.7,0.3,3
2010-01-02,01:00:00,,-3.0,0.7,0.1,3
2010-01-02,02:00:00,,-3.0,0.9,0.0,3
2010-01-02,03:00:00,,-3.0,1.1,0.0,3
2010-01-02,04:00:00,,-3.3,1.1,0.0,3
2010-01-02,05:00:00,,-3.3,1.0,0.2,3
2010-01-02,06:00:00,,-3.5,1.2,0.1,3
2010-01-02,07:00:00,,-3.7,1.2,0.0,3
2010-01-02,08:00:00,,-3.6,1.2,0.0,3
2010-01-02,09:00:00,,-3.4,1.0,0.0,3
2010-01-02,10:00:00,,-3.1,1.1,0.1,3
2010-01-02,11:00:00,,-3.0,1.6,0.1,3
2010-01-02,12:00:00,,-2.6,1.3,0.1,3
2010-01-02,13:00:00,,-2.5,1.4,0.2,3
2010-01-02,14:00:00,,-2.7,1.8,0.2,3
2010-01-02,15:00:00,,-3.0,1.9,0.0,3
2010-01-02,16:00:00,,-3.4,1.8,0.1,3
2010-01-02,17:00:00,,-3.6,1.6,0.0,3
2010-01-02,18:00:00,,-3.5,1.2,0.0,3
2010-01-02,19:00:00,,-3.7,1.3,0.0,3
2010-01-02,20:00:00,,-3.9,1.0,0.0,3
2010-01-02,21:00:00,,-3.9,0.8,0.0,3
2010-01-02,22:00:00,,-3.9,0.6,0.0,3
2010-01-02,23:00:00,21.12,-4.4,0.3,0.0,3
2010-01-03,00:00:00,21.12,-5.5,0.6,0.0,2
2010-01-03,01:00:00,21.12,-6.1,0.9,0.0,2
2010-01-03,02:00:00,21.12,-5.3,0.6,0.1,2
2010-01-03,03:00:00,21.12,-4.3,0.4,0.3,2
2010-01-03,04:00:00,21.12,-3.8,1.0,0.2,2
2010-01-03,05:00:00,21.12,-3.5,1.0,0.1,2
2010-01-03,06:00:00,21.12,-3.4,0.7,0.1,2
2010-01-03,07:00:00,21.12,-3.2,0.6,0.1,2
2010-01-03,08:00:00,21.12,-2.7,0.3,0.0,2
2010-01-03,09:00:00,21.12,-2.5,0.5,0.0,2
2010-01-03,10:00:00,21.12,-1.9,0.5,0.0,2
2010-01-03,11:00:00,21.12,-1.3,0.6,0.1,2
2010-01-03,12:00:00,21.12,-1.0,0.5,0.0,2
2010-01-03,13:00:00,21.12,-0.6,0.6,0.0,2
2010-01-03,14:00:00,21.12,-0.8,0.5,0.0,2
2010-01-03,15:00:00,21.12,-1.0,0.5,0.3,2
2010-01-03,16:00:00,21.12,-1.3,0.4,0.4,2
2010-01-03,17:00:00,21.12,-1.4,0.4,0.1,2
2010-01-03,18:00:00,21.12,-1.5,0.3,0.2,2
2010-01-03,19:00:00,21.12,-1.9,0.3,0.1,2
2010-01-03,20:00:00,21.12,-1.8,0.3,0.2,2
2010-01-03,21:00:00,21.12,-1.9,0.4,0.2,2
2010-01-03,22:00:00,21.12,-2.1,0.4,0.1,2
2010-01-03,23:00:00,,-2.6,0.7,0.0,2
2010-01-04,00:00:00,,-3.5,0.8,0.0,4
2010-01-04,01:00:00,,-4.2,0.5,0.0,4
2010-01-04,02:00:00,,-4.5,0.5,0.0,4
2010-01-04,03:00:00,,-4.6,0.4,0.0,4
2010-01-04,04:00:00,,-4.7,0.3,0.0,4
2010-01-04,05:00:00,,-4.7,0.6,0.0,4
2010-01-04,06:00:00,,-4.7,0.6,0.1,4
2010-01-04,07:00:00,,-4.7,0.6,0.0,4
2010-01-04,08:00:00,,-5.0,0.8,0.0,4
2010-01-04,09:00:00,,-5.0,0.7,0.0,4
2010-01-04,10:00:00,,-4.5,0.7,0.0,4
2010-01-04,11:00:00,,-4.4,0.7,0.0,4
2010-01-04,12:00:00,,-4.5,0.8,0.0,4
2010-01-04,13:00:00,,-4.4,0.7,0.0,4
2010-01-04,14:00:00,,-4.2,0.6,0.0,4
2010-01-04,15:00:00,,-4.3,0.6,0.0,4
2010-01-04,16:00:00,,-4.5,0.6,0.0,4
2010-01-04,17:00:00,,-4.5,0.6,0.0,4
2010-01-04,18:00:00,,-4.7,0.5,0.0,4
2010-01-04,19:00:00,,-5.8,0.5,0.0,4
2010-01-04,20:00:00,,-6.7,0.6,0.0,4
2010-01-04,21:00:00,,-7.7,0.4,0.0,4
2010-01-04,22:00:00,,-8.2,0.4,0.0,4
2010-01-04,23:00:00,33.97,-8.0,0.3,0.0,4
2010-01-05,00:00:00,33.97,-7.9,0.3,0.0,4
2010-01-05,01:00:00,33.97,-8.8,0.3,0.0,4
2010-01-05,02:00:00,33.97,-9.7,0.3,0.0,4
2010-01-05,03:00:00,33.97,-10.0,0.2,0.0,4
2010-01-05,04:00:00,33.97,-10.1,0.2,0.0,4
2010-01-05,05:00:00,33.97,-10.3,0.5,0.0,4
2010-01-05,06:00:00,33.97,-10.7,0.5,0.0,4
2010-01-05,07:00:00,33.97,-10.7,0.5,0.0,4
2010-01-05,08:00:00,33.97,-11.5,0.7,0.0,4
2010-01-05,09:00:00,33.97,-10.9,0.6,0.0,4
2010-01-05,10:00:00,33.97,-8.7,0.5,0.0,4
2010-01-05,11:00:00,33.97,-5.6,0.5,0.0,4
2010-01-05,12:00:00,33.97,-4.3,0.6,0.0,4
2010-01-05,13:00:00,33.97,-3.9,0.9,0.0,4
2010-01-05,14:00:00,33.97,-3.7,0.7,0.0,4
2010-01-05,15:00:00,33.97,-4.2,0.7,0.0,4
2010-01-05,16:00:00,33.97,-5.1,0.5,0.0,4
2010-01-05,17:00:00,33.97,-5.9,0.5,0.0,4
2010-01-05,18:00:00,33.97,-6.1,0.5,0.0,4
2010-01-05,19:00:00,33.97,-6.1,0.7,0.0,4
2010-01-05,20:00:00,33.97,-6.2,0.6,0.0,4
2010-01-05,21:00:00,33.97,-6.9,0.4,0.0,4
2010-01-05,22:00:00,33.97,-8.3,0.5,0.0,4
2010-01-05,23:00:00,40.25,-9.3,0.4,0.0,4
2010-01-06,00:00:00,40.25,-10.3,0.6,0.0,4
2010-01-06,01:00:00,40.25,-10.4,0.4,0.0,4
2010-01-06,02:00:00,40.25,-10.2,0.5,0.0,4
2010-01-06,03:00:00,40.25,-9.4,0.4,0.0,4
2010-01-06,04:00:00,40.25,-8.2,0.3,0.0,4
2010-01-06,05:00:00,40.25,-7.7,0.4,0.0,4
2010-01-06,06:00:00,40.25,-7.2,0.5,0.0,4
2010-01-06,07:00:00,40.25,-7.1,1.0,0.0,4
2010-01-06,08:00:00,40.25,-6.9,0.9,0.0,4
2010-01-06,09:00:00,40.25,-6.7,0.7,0.0,4
2010-01-06,10:00:00,40.25,-6.6,0.7,0.0,4
2010-01-06,11:00:00,40.25,-6.3,0.6,0.0,4
2010-01-06,12:00:00,40.25,-6.2,0.7,0.0,4
2010-01-06,13:00:00,40.25,-6.2,0.8,0.0,4
2010-01-06,14:00:00,40.25,-6.2,0.8,0.0,4
2010-01-06,15:00:00,40.25,-6.2,0.8,0.0,4
2010-01-06,16:00:00,40.25,-6.3,0.8,0.0,4
2010-01-06,17:00:00,40.25,-6.4,0.7,0.0,4
2010-01-06,18:00:00,40.25,-6.4,0.7,0.0,4
2010-01-06,19:00:00,40.25,-6.3,0.7,0.0,4
2010-01-06,20:00:00,40.25,-6.0,0.6,0.0,4
2010-01-06,21:00:00,40.25,-6.1,0.7,0.0,4
2010-01-06,22:00:00,40.25,-6.2,1.0,0.0,4
2010-01-06,23:00:00,34.42,-6.6,1.3,0.0,4
2010-01-07,00:00:00,34.42,-6.9,1.3,0.0,4
2010-01-07,01:00:00,34.42,-7.2,1.4,0.0,4
2010-01-07,02:00:00,34.42,-7.5,1.4,0.0,4
2010-01-07,03:00:00,34.42,-8.0,1.6,0.0,4
2010-01-07,04:00:00,34.42,-7.9,0.9,0.0,4
2010-01-07,05:00:00,34.42,-7.8,1.0,0.0,4
2010-01-07,06:00:00,34.42,-7.4,0.9,0.0,4
2010-01-07,07:00:00,34.42,-7.3,1.1,0.0,4
2010-01-07,08:00:00,34.42,-7.1,0.9,0.0,4
2010-01-07,09:00:00,34.42,-6.6,0.8,0.0,4
2010-01-07,10:00:00,34.42,-6.0,1.0,0.0,4
2010-01-07,11:00:00,34.42,-5.8,1.2,0.0,4
2010-01-07,12:00:00,34.42,-5.3,1.2,0.0,4
2010-01-07,13:00:00,34.42,-4.6,0.8,0.0,4
2010-01-07,14:00:00,34.42,-4.4,0.9,0.0,4
2010-01-07,15:00:00,34.42,-4.6,0.7,0.0,4
2010-01-07,16:00:00,34.42,-5.6,0.7,0.0,4
2010-01-07,17:00:00,34.42,-6.6,0.6,0.0,4
2010-01-07,18:00:00,34.42,-7.5,0.7,0.0,4
2010-01-07,19:00:00,34.42,-7.6,0.5,0.0,4
2010-01-07,20:00:00,34.42,-8.0,0.6,0.0,4
2010-01-07,21:00:00,34.42,-8.8,0.5,0.0,4
2010-01-07,22:00:00,34.42,-9.3,0.4,0.0,4
2010-01-07,23:00:00,40.63,-9.7,0.5,0.0,4
2010-01-08,00:00:00,40.63,-9.8,0.3,0.0,4
2010-01-08,01:00:00,40.63,-9.2,0.3,0.0,4
2010-01-08,02:00:00,40.63,-9.0,0.4,0.0,4
2010-01-08,03:00:00,40.63,-8.7,0.3,0.0,4
2010-01-08,04:00:00,40.63,-8.8,0.4,0.0,4
2010-01-08,05:00:00,40.63,-8.9,0.5,0.0,4
2010-01-08,06:00:00,40.63,-8.7,0.8,0.0,4
2010-01-08,07:00:00,40.63,-8.6,1.0,0.0,4
2010-01-08,08:00:00,40.63,-8.3,0.9,0.0,4
2010-01-08,09:00:00,40.63,-7.4,0.6,0.0,4
2010-01-08,10:00:00,40.63,-6.7,1.1,0.0,4
2010-01-08,11:00:00,40.63,-6.1,1.5,0.0,4
2010-01-08,12:00:00,40.63,-5.7,1.5,0.0,4
2010-01-08,13:00:00,40.63,-5.7,1.8,0.0,4
2010-01-08,14:00:00,40.63,-6.0,1.4,0.0,4
2010-01-08,15:00:00,40.63,-6.1,1.5,0.0,4
2010-01-08,16:00:00,40.63,-5.7,1.6,0.1,4
2010-01-08,17:00:00,40.63,-5.9,1.9,0.2,4
2010-01-08,18:00:00,40.63,-6.0,2.2,0.1,4
2010-01-08,19:00:00,40.63,-6.0,2.1,0.2,4
2010-01-08,20:00:00,40.63,-5.9,1.9,0.2,4
2010-01-08,21:00:00,40.63,-6.0,2.1,0.4,4
2010-01-08,22:00:00,40.63,-5.9,1.8,0.4,4
2010-01-08,23:00:00,38.0,-5.8,1.9,0.1,4
2010-01-09,00:00:00,38.0,-5.8,2.1,0.1,3
2010-01-09,01:00:00,38.0,-5.7,2.0,0.0,3
2010-01-09,02:00:00,38.0,-5.7,1.9,0.0,3
2010-01-09,03:00:00,38.0,-5.8,1.9,0.0,3
2010-01-09,04:00:00,38.0,-5.7,1.6,0.0,3
2010-01-09,05:00:00,38.0,-5.5,2.4,0.1,3
2010-01-09,06:00:00,38.0,-5.2,1.9,0.0,3
2010-01-09,07:00:00,38.0,-4.9,2.0,0.2,3
2010-01-09,08:00:00,38.0,-4.6,2.0,0.0,3
2010-01-09,09:00:00,38.0,-4.5,1.6,0.1,3
2010-01-09,10:00:00,38.0,-4.4,1.6,0.3,3
2010-01-09,11:00:00,38.0,-4.3,1.9,0.0,3
2010-01-09,12:00:00,38.0,-4.2,1.9,0.0,3
2010-01-09,13:00:00,38.0,-4.2,1.9,0.0,3
2010-01-09,14:00:00,38.0,-4.3,1.8,0.0,3
2010-01-09,15:00:00,38.0,-4.4,1.5,0.0,3
2010-01-09,16:00:00,38.0,-4.6,1.5,0.0,3
2010-01-09,17:00:00,38.0,-4.9,1.6,0.0,3
2010-01-09,18:00:00,38.0,-4.9,1.7,0.0,3
2010-01-09,19:00:00,38.0,-5.0,1.3,0.0,3
2010-01-09,20:00:00,38.0,-4.9,1.4,0.0,3
2010-01-09,21:00:00,38.0,-4.8,1.0,0.2,3
2010-01-09,22:00:00,38.0,-4.7,1.3,0.1,3
2010-01-09,23:00:00,19.92,-4.7,1.2,0.1,3
2010-01-10,00:00:00,19.92,-4.6,0.8,0.4,2
2010-01-10,01:00:00,19.92,-4.6,1.3,0.3,2
2010-01-10,02:00:00,19.92,-4.6,1.2,0.0,2
2010-01-10,03:00:00,19.92,-4.6,1.2,0.1,2
2010-01-10,04:00:00,19.92,-4.6,1.0,0.0,2
2010-01-10,05:00:00,19.92,-4.5,1.0,0.0,2
2010-01-10,06:00:00,19.92,-4.2,0.7,0.0,2
2010-01-10,07:00:00,19.92,-4.1,0.6,0.1,2
2010-01-10,08:00:00,19.92,-4.0,0.7,0.3,2
